"","ttdA","ttdB","ttdR","ttdT","pval","z","inv_cof_var"
"T5044",0.063160486,0.066878709,0.063157233,0.064400285,0.110996778793174,1.22124424234124,36.7249362265563
"T6957",0.053434114,0.051668826,0.052880562,0.048839415,0.273830296091521,0.601269362475259,25.2451795795307
"T6960",0.069733895,0.064624038,0.069468543,0.064812377,0.300489329436054,0.522993669138795,23.7957887411888
"T6961",0.055394459,0.054245565,0.054726014,0.051767908,0.139564357055869,1.08227868531263,34.1517823314312
"T6964",0.076383579,0.06630962,0.07625466,0.070072124,0.488791103442645,0.0281002346995997,14.6321010208077
"T4111",0.037990374,0.040179023,0.038298615,0.035750794,0.355648926781794,0.370113594143032,20.9649868585226
"T5049",0.072247083,0.067081898,0.07132326,0.066724445,0.290106433594826,0.553073813400571,24.3527673337848
"T5050",0.05094092,0.053635703,0.050885547,0.050771604,0.106390502803734,1.24595475683422,37.1824881406977
"T5051",0.047800207,0.046268434,0.047476682,0.044763278,0.143595934784118,1.06430209428714,33.8189190219366
"T5053",0.050846721,0.057359407,0.050901437,0.052922382,0.430903011952528,0.174075631673927,17.3350525243919
"T5054",0.04243525,0.045611909,0.042447499,0.042141793,0.25526592158242,0.658009785659438,26.2958128734867
"T5055",0.087440193,0.084126358,0.089554485,0.085163851,0.121516022904992,1.16744168378921,35.7287018641284
"T5056",0.089269152,0.088809101,0.090241829,0.088242874,4.08752125552202e-07,4.93114164968829,105.419202405505
"T6977",0.044678401,0.047023385,0.047487864,0.04363021,0.283795073408234,0.57160420383106,24.6958850626231
"T6979",0.037922221,0.043086945,0.038261308,0.037983223,0.467959140747191,0.0804010629967615,15.6005286148726
"T4116",0.056098686,0.059321255,0.055307661,0.051884109,0.41213083995079,0.222067060084045,18.2236851725573
"T4835",0.07190331,0.081734932,0.070958932,0.074482923,0.473699935971863,0.0659723086044669,15.33335877538
"T4839",0.080572039,0.079132459,0.08085767,0.079278089,1.75439636860418e-05,4.13765116836964,90.7265464236393
"T4843",0.080141224,0.083874787,0.080136212,0.079896516,0.0634609072122909,1.52635364897633,42.3744905111531
"T4852",0.081005746,0.085694553,0.082084441,0.081891847,0.0816964493329892,1.39375070515088,39.9191498590859
"T4856",0.090378387,0.087206036,0.096379346,0.086948486,0.363727161950703,0.348513837135076,20.5650352441285
"T2259",0.059645165,0.059210618,0.062327662,0.053910352,0.444777744546373,0.13886669546736,16.6831067237179
"T2764",0.034858774,0.032457698,0.036685155,0.033676724,0.393490155291101,0.270233904565749,19.1155659100875
"T2770",0.049002491,0.045189564,0.051302341,0.045091261,0.466671460157084,0.083639676301063,15.660496355203
"T2769",0.068128496,0.070248474,0.067955499,0.074247206,0.297295315482291,0.532195454336881,23.9661734748656
"T0410",0.061790486,0.059411996,0.064848049,0.058779806,0.330227801772094,0.439284224402555,22.2457839170621
"T5994",0.075648694,0.083505473,0.075505281,0.077198698,0.361691944849292,0.353939945960168,20.6655077162806
"T5998",0.073361234,0.080941364,0.073180024,0.074650796,0.36275119583484,0.351114578019366,20.613191828247
"T6000",0.076049566,0.086188479,0.075917989,0.077581696,0.456673394433648,0.108818072868245,16.1267118015708
"T6002",0.073556727,0.08072334,0.07356947,0.074691674,0.334486559125791,0.427557768431789,22.0286511504804
"T6004",0.080068914,0.088289948,0.079953975,0.081198867,0.361158715172314,0.355363311921525,20.6918634532413
"T6006",0.07960618,0.088813767,0.079512843,0.081662645,0.400709678240553,0.251510614799491,18.7688763632549
"T6008",0.077349219,0.08500943,0.077077384,0.07925632,0.342807426519122,0.404813162199128,21.6075009505887
"T6010",0.077487838,0.08465353,0.077433951,0.078607224,0.314256280822735,0.483821490960777,23.070457623072
"T6012",0.072665513,0.081432528,0.072353356,0.074657778,0.421011973767961,0.19930528211057,17.8022170123544
"T6016",0.082234627,0.088438245,0.082105583,0.083388096,0.22444816869582,0.757256281567181,28.133509299731
"T6018",0.077661037,0.082274801,0.077601285,0.077748162,0.138701492832162,1.0861718122963,34.223869365632
