"","cra","phoB","pitB","sbcC","sbcD","pval","z","inv_cof_var"
"T7224",0.081844815,0.081563282,0.081755465,0.082982173,0.082127938,0.00143785233790011,2.98072120171739,146.906020159178
"T7226",0.091253758,0.08485343,0.090085136,0.085408896,0.088708161,0.282551504080972,0.575278428429135,35.1594191396985
"T7227",0.082144972,0.078715308,0.083020339,0.081858932,0.080866251,0.0354556104707986,1.80604557526683,92.335605924448
"T7228",0.086439051,0.086464502,0.084390192,0.086655197,0.083442903,0.161760279403063,0.987249054969286,54.2978155076967
"T7229",0.084109144,0.076455839,0.084326242,0.081408676,0.084170537,0.135079469841679,1.10269660945405,59.6610159766265
"T7230",0.086889165,0.084874183,0.085335922,0.083498889,0.083944218,0.155484188445928,1.01319217599449,55.5030221443277
"T7231",0.076981201,0.077689525,0.075173055,0.068974398,0.068028064,0.433322916120492,0.167920487561837,16.2353084538361
"T7232",0.086254219,0.082533722,0.085879311,0.079414983,0.083435954,0.347744142974885,0.39141800473294,26.6180488613422
"T7233",0.081079982,0.080104455,0.080788613,0.071256721,0.078709102,0.42701820137758,0.183970748227401,16.9809350365054
"T7234",0.08354413,0.086486964,0.082469422,0.075192293,0.0801623,0.388061352408071,0.284375405557052,21.6453067304437
"T7436",0.084680834,0.08932563,0.087442493,0.079496449,0.088027476,0.386741292209614,0.287822537757203,21.8054457746601
"T7438",0.089632775,0.078635769,0.083910585,0.088436607,0.08635363,0.286142246842588,0.564690210914301,34.6675357611885
"T7440",0.086192087,0.08621377,0.086375864,0.081254555,0.089281179,0.354593024171507,0.372949475061604,25.7600798256549
"T7235",0.082423479,0.083578098,0.079713032,0.078830031,0.075427968,0.34144526873842,0.408521924847021,27.4126239633076
"T7236",0.084726753,0.088613995,0.080876976,0.082024506,0.077861283,0.331953628578032,0.434524982665787,28.6206150074628
"T7237",0.076343996,0.077113174,0.076803582,0.079255769,0.068896514,0.428182805399912,0.181002503709473,16.8430430693564
"T7238",0.085721353,0.086426626,0.086077079,0.085929372,0.08250706,0.186507183985635,0.890841201518797,49.8191182573151
"T7239",0.081658799,0.08559741,0.081762923,0.096341672,0.074127823,0.495305641006876,0.0117672845451192,8.98109735008608
"T7240",0.08055846,0.081261728,0.080409676,0.084436975,0.077938147,0.320402489284556,0.466573600142248,30.1094569413211
"T7442",0.08436236,0.081857451,0.081933605,0.08175032,0.083061931,0.0974019737293127,1.29649806153103,68.6642039895499
"T7444",0.084669365,0.080039307,0.086297349,0.083377293,0.086222354,0.128802474325849,1.13207013701039,61.0255846543033
"T7446",0.082800737,0.082686608,0.082506549,0.081284607,0.080440883,0.0772863687677015,1.423563950632,74.5671426793536
"T7241",0.079444723,0.108764624,0.073102759,0.074834631,0.065190452,0.466709212056792,0.0835447151227272,12.3155703153251
"T7242",0.084792162,0.095278607,0.084653366,0.083070381,0.083986309,0.0169651252913647,2.12089962091482,106.962380591092
"T7243",0.079938719,0.082719484,0.07836182,0.074579272,0.078177002,0.288672049748638,0.557268345876182,34.3227475997552
"T7244",0.086145725,0.089623319,0.084400639,0.085572728,0.084622023,0.0196436957706194,2.0611640545078,104.18732122153
"T7245",0.085581187,0.084823854,0.07972271,0.083213303,0.070480649,0.469184611978397,0.0773196943793602,12.026382429805
"T7247",0.083721302,0.080382547,0.075056961,0.073518434,0.071670896,0.450253772689575,0.12502021659556,14.2423450308307
"T7248",0.083669976,0.090327919,0.074837883,0.088829553,0.073421843,0.478499566621398,0.0539197099445943,10.9393190610434
"T7249",0.082243757,0.082001384,0.079209695,0.076349247,0.077786239,0.311050530183402,0.492874791204858,31.331297983082
"T7250",0.086622674,0.091601908,0.078947531,0.088664795,0.079805835,0.42524868886072,0.188483845840698,17.1905942825933
"T7251",0.086528656,0.083127142,0.076912698,0.076608481,0.071786937,0.464090598377951,0.0901334139827122,12.621653133391
"T7252",0.076520202,0.09044493,0.077005964,0.090919437,0.071325055,0.491613841112532,0.0210225313537244,9.41105660080822
"T7253",0.093409048,0.10256948,0.084928133,0.109042694,0.088555022,0.496459199106413,0.00887558816397874,8.84676148254388
"T7254",0.082673533,0.084239195,0.083109742,0.094622533,0.083214859,0.445763402917833,0.136372508275688,14.7697240327855
"T7255",0.086520279,0.090362199,0.080842983,0.086663418,0.079012612,0.391402097944318,0.275666541927882,21.240730109412
"T7256",0.080188094,0.088203893,0.081278601,0.089282896,0.078712773,0.423365702198413,0.193290578589683,17.4138945633868
"T7257",0.086132972,0.096742492,0.076838537,0.071472462,0.076315489,0.463561195415052,0.0914659121524333,12.6835553091503
"T7258",0.084126022,0.088166752,0.082430797,0.087184197,0.080981504,0.310607885837719,0.494128018096331,31.3895175537088
"T7448",0.081233851,0.078051327,0.08042745,0.094356811,0.0812211,0.464554716925109,0.0889653672827474,12.5673906707781
"T7450",0.085532677,0.076415633,0.086021845,0.085192443,0.085013526,3.67566875004215e-05,3.96461865019328,192.613694787671
"T7452",0.075046004,0.087091689,0.081189876,0.080688832,0.081045924,0.346711016231435,0.394215378852635,26.748002919334
"T7259",0.08195757,0.081656795,0.084195464,0.080767442,0.083258275,0.157665954352241,1.00409690166783,55.0804945321017
"T7260",0.088697711,0.083823459,0.089156408,0.088759247,0.087721052,0.00161546474376278,2.94486754250928,145.240412232393
"T7261",0.089047275,0.08912815,0.088131998,0.087700285,0.087456855,0.00576115933465747,2.526445737113,125.802321638556
"T7262",0.090451995,0.09318532,0.089503052,0.091676476,0.087980636,0.144828588952209,1.05887397531517,57.6252034987245
"T7263",0.086782623,0.088436625,0.086953273,0.088495271,0.0824937,0.29510094247049,0.538543495774606,33.4528710112592
"T7264",0.085512356,0.092018241,0.087984034,0.091410852,0.081614855,0.393457330333881,0.270319245341162,20.9923175406972
"T7265",0.082943702,0.086674456,0.085848689,0.087264999,0.076124012,0.428811460623584,0.179400904466256,16.7686396066707
"T7266",0.084498877,0.092833428,0.088134893,0.091818467,0.080835609,0.416106977628625,0.211862951008672,18.2766876897653
"T7267",0.084886538,0.090652438,0.086978051,0.081700714,0.080340992,0.339132313544388,0.414832362029011,27.705779931874
"T7268",0.080996046,0.088342427,0.088404462,0.088357794,0.084413328,0.368659954618151,0.335404585676321,24.0159045656788
"T7269",0.080812797,0.086701095,0.084515272,0.086855713,0.081967983,0.313946148410885,0.484695587708897,30.9513271104135
