"","dgcN","gfcA","ybhL","yfiB","yfiR","yjjQ","pval","z","inv_cof_var"
"T4838",0.083013813,0.125643002,0.122062937,0.10282993,0.086666253,0.228171587,0.209574010418663,0.807900226635998,5.3078288400027
"T4840",0.093751373,0.148573121,0.133313424,0.147584511,0.18636429,0.238947292,0.2986564588509,0.528268606382486,4.25680638836747
"T4842",0.100172548,0.102883776,0.094051348,0.083257049,0.083328447,0.230470883,0.0188349670224275,2.07842823880301,10.0832310817391
"T4844",0.083348855,0.124379472,0.071738251,0.134727533,0.064700241,0.241916673,0.421439969596879,0.198211054039387,3.01625320082068
"T4845",0.081572613,0.152105872,0.109967789,0.068341283,0.070600685,0.250849254,0.450276498448261,0.124962804844925,2.74094258188368
"T4847",0.071747086,0.153700568,0.160244153,0.077232676,0.140082783,0.245453709,0.44192829492969,0.146082083649883,2.82032143097889
"T4849",0.081335272,0.152695335,0.082117181,0.10905451,0.104201146,0.238413157,0.357183550926688,0.365997284513047,3.64689395290439
"T4851",0.08631632,0.143551252,0.149929574,0.109119369,0.124164844,0.222147214,0.25639054047227,0.654513424761597,4.73130973101078
"T4853",0.082947845,0.101575793,0.150879086,0.17717479,0.140847683,0.229569809,0.378689286659704,0.308925007585884,3.43238228801466
"T4855",0.088195915,0.153616477,0.124941304,0.189052417,0.091563304,0.229171177,0.419803733506359,0.202395601156887,3.03198122530672
"T5037",0.054329228,0.064912624,0.108034833,0.157599531,0.103084641,0.265450148,0.487592713889926,0.0311054694644026,2.38817072208415
"T5041",0.082844455,0.228085191,0.105956625,0.147996516,0.108996203,0.235833341,0.490849546488895,0.0229387970260479,2.35747549498472
"T5044",0.082697425,0.068757088,0.15537435,0.150218684,0.068888868,0.234896856,0.486561339978549,0.0336920984040305,2.3978928167712
"T6960",0.065834394,0.073019303,0.073343629,0.119000772,0.078410609,0.265304105,0.335958653141554,0.423518085359993,3.8630914382652
"T6964",0.068604718,0.07866565,0.087383066,0.166053051,0.097091439,0.259332952,0.46758810373931,0.0813341609324419,2.57696011007005
"T6965",0.09425789,0.138158504,0.084341641,0.231350523,0.139486263,0.269043661,0.489897312241336,0.0253263900261319,2.36644949387004
"T6968",0.09549536,0.13285687,0.098329302,0.178012452,0.079589648,0.284538807,0.426061772674314,0.186409624631317,2.97189638860457
"T6969",0.053103303,0.128645765,0.090056249,0.153843651,0.110439224,0.266034021,0.444095524423425,0.140593543837784,2.79969222401017
"T4105",0.072747396,0.176415253,0.175808645,0.122597463,0.097403219,0.25240123,0.446687356353987,0.134035234498469,2.77504218495471
"T4107",0.051840614,0.136369504,0.127247754,0.126411646,0.093617653,0.277392211,0.415954119321283,0.212254822681732,3.06903806161466
"T4109",0.061033703,0.134804817,0.113399657,0.138208547,0.094811879,0.267609046,0.380655500414488,0.303759661557906,3.41296783609772
"T4113",0.049376524,0.156428642,0.165253486,0.120535851,0.081020457,0.277196677,0.494641188119464,0.0134329533504131,2.32174686345239
"T4115",0.058183154,0.052663372,0.121386388,0.126384473,0.091033786,0.264951308,0.463143538927073,0.0925172608580316,2.61899287120779
"T5053",0.063783297,0.1382655,0.136167576,0.123318418,0.089716654,0.252830438,0.382061530950998,0.300070917702905,3.39910333605862
"T5055",0.084859842,0.118623388,0.114381107,0.153273311,0.116776998,0.201203583,0.24680463490735,0.684579558553357,4.84431619866405
"T5056",0.094882473,0.114695193,0.098354526,0.168805742,0.134597806,0.21390319,0.32070193987725,0.465736839265799,4.02177470232109
"T6973",0.071277045,0.131510127,0.108306216,0.11116431,0.097200168,0.244008645,0.257958018971572,0.649653544446056,4.71304340147601
"T6976",0.072983878,0.091486569,0.117113164,0.088410765,0.112199756,0.264157305,0.208721132493249,0.81086663101711,5.3189783573654
"T6977",0.057237022,0.11320114,0.105179504,0.163440292,0.092265047,0.249585384,0.447988751219015,0.130744406609316,2.76267329050411
"T6979",0.05981406,0.125501232,0.121091776,0.19655617,0.109469903,0.278395856,0.475635428289613,0.0611109399965282,2.5009491810172
"T4106",0.066904204,0.146456216,0.125219767,0.139587296,0.102571847,0.260322186,0.361670764683122,0.353996469120134,3.60178772920749
"T4108",0.058044231,0.100665322,0.117126489,0.143231544,0.049719983,0.270575788,0.489444884485521,0.0264608385402185,2.37071342817564
"T4110",0.082192238,0.11392908,0.133226297,0.086333213,0.121058512,0.268839292,0.247963548423298,0.680912122789566,4.8305317871437
"T4112",0.092557517,0.14450699,0.124623277,0.161789329,0.123813475,0.249751576,0.234463180116016,0.724227040529569,4.99333508883828
"T4114",0.086004552,0.114868477,0.128520553,0.118443693,0.180019303,0.277386654,0.355717849343537,0.369928589685522,3.66167014308186
"T4116",0.073807363,0.152953024,0.161926625,0.062194652,0.128612426,0.273530069,0.471189918123931,0.0722790506441998,2.54292560350621
"T4118",0.08861367,0.148675057,0.15439245,0.134929708,0.115144286,0.245497589,0.252512812948999,0.666603197893063,4.7767503109596
"T4833",0.071792479,0.11040403,0.114823272,0.096266767,0.102500446,0.240840017,0.168972959828054,0.958231731748722,5.8728643210343
"T4835",0.089563967,0.144102297,0.143538393,0.089234881,0.115447628,0.242832019,0.296886629875215,0.533376098052058,4.27600338909075
"T4837",0.095653084,0.123935323,0.099007601,0.053510335,0.070049502,0.245768373,0.398423934313113,0.25742867566979,3.23882835097562
"T4839",0.081479272,0.151945761,0.133635229,0.149570632,0.152502106,0.223731238,0.283675695593371,0.57195657966759,4.42101185535813
"T4841",0.086442856,0.112981113,0.062939976,0.088218891,0.078139025,0.255532583,0.258323710842616,0.648521945270607,4.70879017668487
"T4843",0.086893868,0.122258448,0.11498712,0.149466712,0.079593632,0.20320903,0.330612585606174,0.438222263397901,3.91835851155495
"T4846",0.076139147,0.13083942,0.166145273,0.06056019,0.115788635,0.233786323,0.466390236722909,0.0843470898932691,2.58828449455898
"T4848",0.063130022,0.117314691,0.130670921,0.070916168,0.142368569,0.233890377,0.430334625884441,0.175522297622331,2.93097531853973
"T4850",0.086475912,0.144597603,0.154260232,0.080042678,0.093604874,0.244159149,0.401646571988515,0.249087441007883,3.20747701489969
"T4852",0.085234284,0.128776831,0.128627999,0.094925761,0.124541303,0.22934054,0.201248706691115,0.837169296266754,5.41783946502611
"T4854",0.103052825,0.093803015,0.132659012,0.151711236,0.070228686,0.228211452,0.379327401263583,0.307247750342797,3.42607815467647
"T4856",0.088763056,0.121102045,0.152205937,0.086718274,0.094705373,0.240503133,0.333340765442948,0.430706859027294,3.89011113838784
"T7010",0.121868559,0.134550116,0.164078629,0.104123273,0.0957897,0.142502261,0.267944535345029,0.619041423108351,4.59798478689966
"T2774",0.053203799,0.05086679,0.098179925,0.056531313,0.081892276,0.044961747,0.396295132115744,0.262948512178591,3.25957518960154
"T2765",0.052015174,0.059203363,0.052205161,0.048953959,0.041940738,0.069273967,0.059017418945088,1.56307549835323,8.14622803382413
"T2766",0.038778499,0.040716199,0.059187919,0.03959432,0.056706642,0.044947437,0.261465743018435,0.638833141250027,4.67237387102569
"T2767",0.048530599,0.058530545,0.106579144,0.045682324,0.044994697,0.069003589,0.493782779644031,0.0155848912102398,2.3298351297334
"T2763",0.038576691,0.038966697,0.063037366,0.031452446,0.030419221,0.047747228,0.416232594381405,0.211540940873273,3.06635486789063
"T0412",0.048682589,0.046382845,0.042266459,0.03856831,0.036502713,0.05994189,0.0543556708757266,1.60401229843031,8.30009295060323
"T1770",0.083168888,0.088595585,0.095235447,0.078846701,0.084442059,0.093016174,0.000999874014431919,3.0902697250813,13.8863350318944
"T1771",0.084056967,0.092280711,0.08115805,0.077835808,0.083512366,0.097922905,0.000185969169060661,3.55923378358133,15.6489817384673
"T1772",0.090975598,0.096627547,0.085372429,0.085878813,0.094732597,0.104235452,1.66375497335456e-05,4.14981025266421,17.8687204355819
"T1774",0.06518443,0.06954483,0.071795009,0.064189977,0.077024484,0.072990803,0.00161307560533802,2.94532545035884,13.341547976585
"T1776",0.076872204,0.089310877,0.07410128,0.062233451,0.049298334,0.102890823,0.265441345468739,0.626659143164961,4.62661672345429
"T1777",0.072902517,0.078075589,0.101369143,0.077678948,0.056695187,0.090129392,0.247661328226875,0.681867628283768,4.83412314682669
"T1778",0.07172129,0.076851829,0.101063148,0.066723034,0.066577122,0.088792356,0.206508000836702,0.818597661452966,5.34803618192399
"T1779",0.069781483,0.072708904,0.077424472,0.071967648,0.077889724,0.08298148,3.97412814123087e-07,4.93663367973209,20.8260722778778
"T1780",0.073065829,0.078570679,0.080484419,0.069263844,0.069632937,0.088299758,0.000582993912888985,3.2470722592564,14.475692500631
"T1781",0.064964467,0.06877871,0.111025064,0.063123199,0.078300346,0.074521048,0.331808916394992,0.434923670198409,3.90596043043546
"T1782",0.060465723,0.067841554,0.104821619,0.066278414,0.065437789,0.075690885,0.318054203092985,0.473146861009081,4.04962598470551
"T1783",0.05745259,0.065590461,0.118339494,0.065279043,0.06322203,0.075504134,0.427569691872022,0.182564955321741,2.95744582768513
"T1784",0.051186551,0.059817392,0.078923645,0.052572356,0.048056309,0.071563756,0.260503617550095,0.641793554671769,4.68350087078899
"T1785",0.053749723,0.054468912,0.053785105,0.05442063,0.078421999,0.059632507,0.201078184781215,0.837776268266203,5.42012082790759
"T1786",0.056306784,0.061675808,0.054517379,0.058435163,0.062473626,0.06986288,3.43924997992489e-05,3.98044976702461,17.2321626934149
"T1787",0.062024879,0.065834874,0.100495745,0.060492767,0.072689989,0.073955782,0.28588357255508,0.565450851226985,4.39655944668876
"T1788",0.059328197,0.064413347,0.120170728,0.053797955,0.052162333,0.074197173,0.480233773705709,0.0495668708326355,2.45755968213477
"T1789",0.056496645,0.067208753,0.073246888,0.047046787,0.046877262,0.079536895,0.241877348050127,0.700276417731506,4.90331435989286
"T1792",0.055959459,0.067488393,0.100899051,0.05343169,0.038662544,0.083666277,0.454055490344076,0.115421572702726,2.70508093938193
