"","fis","hns","lrp","rrfH","rrsG","rrsH","pval","z","inv_cof_var"
"T7442",0.082376382,0.359217395,0.082034475,0.07655134,0.076606132,0.07656625,0.00335545232279672,2.71085954647083,2703.08701624703
"T7444",0.084235587,0.397564642,0.084602223,0.077378786,0.077523635,0.077438114,0.175348847551797,0.933236844693845,1063.56532807081
"T7446",0.076418754,0.429981407,0.09033803,0.070423965,0.070462127,0.070438431,9.04512327999299e-05,3.74429297715438,3656.23445366348
"T7241",0.073838673,0.383195454,0.374865194,0.059241566,0.05945763,0.059309074,0.358637956040604,0.362101862237528,536.80102106842
"T7242",0.084787656,0.370262531,0.38908421,0.076408176,0.076747574,0.076516517,0.397856153696314,0.258900117669802,441.616875238561
"T7243",0.07783657,0.415178719,0.374524518,0.070363254,0.070517302,0.070419098,0.223842992262317,0.759278485718067,903.121549930928
"T7244",0.082404527,0.397283253,0.392811941,0.070533699,0.070788337,0.070624784,0.354290831728888,0.373761637026249,547.554964313097
"T7245",0.080690363,0.406762887,0.344429821,0.060845301,0.061246696,0.06096806,0.459478024891895,0.101748820828157,296.67444215682
"T7246",0.072648467,0.395999676,0.373346958,0.060525106,0.060581171,0.060539652,0.0208481964750315,2.03653768492295,2081.15227401295
"T7247",0.079505665,0.310569061,0.399485125,0.068186258,0.068219066,0.068198224,1.14846964791717e-05,4.23387962065612,4107.78579774797
"T7248",0.075784767,0.364565869,0.395054802,0.06039505,0.060550251,0.06043583,0.275982733427424,0.594817502448216,751.437309703704
"T7249",0.080920574,0.343301719,0.37702599,0.071792717,0.072042623,0.07185414,0.352461837355117,0.37868246699359,552.093501904465
"T7250",0.079145804,0.38141465,0.379670648,0.061325046,0.061769454,0.061460971,0.470906624531142,0.0729910380831147,270.150811204523
"T7251",0.080332356,0.332380046,0.392262512,0.068175491,0.068323665,0.068219256,0.226032571715845,0.751976579313977,896.386918390404
