"","crp","fucA","fucO","fucR","zraR","pval","z","inv_cof_var"
"T4092",0.129589603,0.129389591,0.112492751,0.124002915,0.114601837,0.146499428171247,1.05156568944965,15.1088648439228
"T4093",0.258655155,0.075850852,0.108501566,0.122480934,0.107074907,0.468544501337579,0.078929117992443,5.25653895221945
"T4094",0.26846313,0.103256238,0.126734272,0.139266961,0.08370667,0.49502875723963,0.0124613801686583,4.58325374627341
"T4095",0.120044037,0.123189118,0.115862713,0.151227294,0.09926428,0.453281539790066,0.11737476608643,5.64597429246397
"T4099",0.078523888,0.10287993,0.120530623,0.131719988,0.091572956,0.430238779912052,0.175766282547821,6.23745138305546
"T5038",0.299491534,0.140386527,0.10106761,0.123867668,0.135928312,0.396394705487955,0.262690147952737,7.11794701201657
"T5043",0.248871765,0.114444466,0.090654846,0.077561295,0.118289749,0.472484946513323,0.0690247824145736,5.15621294688761
"T6981",0.173187628,0.128019001,0.115768397,0.123689817,0.093025897,0.386142155504447,0.289388216880016,7.3883852039063
"T6993",0.285093883,0.154608605,0.157892984,0.171070208,0.098828032,0.496239771460284,0.00942563474116711,4.55250315128901
"T4096",0.071908715,0.087395853,0.096052787,0.123398861,0.103469646,0.413137224484433,0.219482193862414,6.68027187486454
"T4098",0.054116498,0.099723435,0.118035155,0.134237001,0.1342543,0.385968437467882,0.289842313750929,7.39298497990684
"T4102",0.11454778,0.089014442,0.08866834,0.098279958,0.105339892,0.231845585926097,0.732782376405275,11.8797480482788
"T4853",0.200419769,0.09052882,0.131161173,0.093302286,0.084057199,0.490969663629866,0.0226376298147682,4.68633410620538
"T4105",0.302830591,0.127396703,0.108352987,0.091334228,0.099504274,0.40513041920331,0.240089545882593,6.8890141264166
"T5049",0.298734052,0.132437851,0.102759958,0.098370692,0.080851797,0.485093606333222,0.0373734864227598,4.8356010223957
"T5055",0.279334852,0.147195895,0.114283616,0.118021771,0.0841472,0.498499755815989,0.0037605633540188,4.49511878888289
"T4106",0.311465247,0.100721676,0.142541986,0.152411684,0.145257147,0.447893682787932,0.130984757106867,5.78383674885466
"T4108",0.182965835,0.181027643,0.123658399,0.151891055,0.151516876,0.420467609038936,0.200697367741776,6.48999090642199
"T4118",0.303144497,0.14653889,0.128946545,0.146152305,0.089305446,0.488531288713866,0.0287517568303356,4.74826717932681
"T4833",0.300018322,0.137721746,0.105442544,0.117657574,0.119629847,0.326061922608918,0.450813673985986,9.02354499256449
"T4835",0.290224453,0.125106828,0.099116075,0.145883176,0.090731446,0.495095101553475,0.0122950668947149,4.58156907532529
"T4841",0.310862073,0.086804851,0.084954876,0.064951066,0.088023934,0.383763228121486,0.295611937281841,7.45142840365537
"T4852",0.27059825,0.102516793,0.080373033,0.131368491,0.088476222,0.498581590823318,0.00355543203801381,4.4930409104284
"T4856",0.138059023,0.097104336,0.145847397,0.135155064,0.094839658,0.497074705847731,0.0073326907442791,4.53130266702228
"T0412",0.471919585,0.061619249,0.054746635,0.052102694,0.042724102,0.41047941907125,0.226311907034245,6.74945348070826
"T0408",0.355634629,0.072144631,0.066091823,0.048423613,0.049009216,0.482780837854835,0.0431754489805252,4.89437202444112
"T0410",0.352844951,0.069947435,0.062306442,0.084942208,0.058758229,0.441824285817876,0.146345597594815,5.93943444166092
"T5994",0.318692851,0.126840922,0.12817898,0.154872671,0.107599588,0.413929849236169,0.217447395436144,6.65966037637903
"T5996",0.338886528,0.124737308,0.10299285,0.142403929,0.103148454,0.430997377989928,0.173835484961398,6.21789336147721
"T6002",0.299026287,0.106782299,0.079613736,0.076091606,0.099229164,0.43702088741277,0.15852671051669,6.06282307185621
"T6004",0.319359738,0.119584902,0.124218545,0.118147541,0.105822344,0.151501375284552,1.03001545513397,14.8905716625317
"T6006",0.315433285,0.129283455,0.128357456,0.122642375,0.109051217,0.196407642856317,0.854522973754802,13.1129198973911
"T6008",0.315231847,0.118597899,0.098626795,0.100541697,0.106407884,0.23479741797872,0.723138438278701,11.7820597399314
"T6010",0.305213556,0.122239775,0.097010291,0.079304977,0.105747884,0.453139685716818,0.117732806855806,5.64960106781453
"T6012",0.322434818,0.123331285,0.118646196,0.124921816,0.106084982,0.176729390452548,0.927901279020282,13.8562057228185
"T6014",0.341402123,0.108237608,0.118329735,0.096335153,0.100731591,0.259201605875817,0.645808763680324,10.998748503648
"T6016",0.320968768,0.124370432,0.11252155,0.105113234,0.103377843,0.238374298214492,0.711541737614953,11.6645909159527
"T6018",0.319179167,0.119363028,0.121732191,0.126042046,0.103142178,0.235841726004505,0.719742665056867,11.7476622420194
"T6020",0.324846628,0.142618804,0.129466394,0.143662415,0.10824276,0.365297731625886,0.344333540271656,7.94495406854238
"T6022",0.317627786,0.127077172,0.125966097,0.128078882,0.109993316,0.16483248155444,0.974788942595739,14.3311544913537
"T6024",0.321646599,0.136831348,0.130413936,0.123782168,0.106616988,0.30696607526639,0.504468559585435,9.56704236262106
"T6026",0.323886124,0.138741662,0.127380343,0.112784039,0.106231839,0.352241443927417,0.379276043100938,8.29890428535366
"T6028",0.312219695,0.126723326,0.112017819,0.087731757,0.105433494,0.413188933817808,0.219349419856834,6.67892694006431
"T6009",0.262571475,0.086280372,0.103993122,0.141870719,0.105984169,0.490452594109009,0.0239340824272349,4.69946652793
"T6023",0.312617378,0.111355703,0.121964582,0.171770671,0.119766256,0.487081044152426,0.0323886818807125,4.78510742561359
"T6027",0.306856767,0.106673086,0.088181595,0.142784142,0.108243375,0.482793872100817,0.04314274652763,4.89404076481873
"T1770",0.33692606,0.094964781,0.090090841,0.104236539,0.080760153,0.310997487874621,0.493024925198943,9.45112402408656
"T1771",0.312507974,0.100494302,0.096039852,0.097465211,0.08103303,0.265717692372052,0.625816383020227,10.7962356068533
"T1776",0.149075019,0.106437769,0.102640391,0.09752421,0.070650299,0.446306352863574,0.134998948461204,5.82449851561851
"T1795",0.119642079,0.096380422,0.092992144,0.11705648,0.072486119,0.471114766434205,0.0724679219943206,5.19109024250427
"T1825",0.218522647,0.093108317,0.085707467,0.121169502,0.072081093,0.498481647260408,0.00380595509630185,4.49557858471094
"T1826",0.185571901,0.094534954,0.091159205,0.131074888,0.085721405,0.48338588602594,0.0416574530407587,4.87899547873047
"T1827",0.227444534,0.093521217,0.089866834,0.127916154,0.081523418,0.486244885042086,0.0344857943419309,4.80635013435579
"T1829",0.246284163,0.094275751,0.090105354,0.131042285,0.080458038,0.499564873255833,0.00109070121623295,4.46807441008889
"T1086",0.313261619,0.049788839,0.049546171,0.04973055,0.049379621,2.68579311357492e-148,25.908285626779,266.895105057432
"T1069",0.412707036,0.047010085,0.043610037,0.047693574,0.039669384,0.225522124502911,0.753675246547799,12.0913824567494
"T1070",0.46431079,0.04832415,0.04468208,0.047386476,0.038350174,0.294270752934478,0.540950784115425,9.93658919632201
"T4810",0.330225147,0.075687819,0.056819646,0.061611733,0.06207754,0.367234060632355,0.339187983227484,7.89283212867168
"T5759",0.197997559,0.114869307,0.131262196,0.126131563,0.091649653,0.416694865328624,0.210356128843538,6.58782936415353
"T6896",0.288087286,0.14924608,0.105299947,0.164078726,0.122049193,0.474259777096189,0.0645660026099106,5.11104771970613
"T6898",0.185263212,0.160270476,0.140877896,0.12706419,0.12726393,0.331706296248863,0.435206434474897,8.86545139990558
"T6902",0.185263212,0.160270476,0.140877896,0.12706419,0.12726393,0.331706296248863,0.435206434474897,8.86545139990558
"T6893",0.101177835,0.133014838,0.123953566,0.128098503,0.113504911,0.14849463139814,1.04291154351759,15.0212026394169
"T0865",0.072419776,0.057653683,0.054522076,0.07231368,0.052697637,0.414278711794783,0.216552093482851,6.65059141179948
"T0866",0.127057597,0.064977225,0.064076824,0.08311419,0.063691855,0.38951030798356,0.280595567713386,7.29932003035307
"T0869",0.311171273,0.060282837,0.054665394,0.047005738,0.054185446,0.294559187292289,0.540114060561021,9.92811360185932
"T0871",0.1106506,0.064466981,0.051833017,0.054336761,0.048654728,0.362565719579968,0.351609100682781,8.01865188571142
"T0873",0.100342175,0.076835769,0.05557895,0.055373106,0.068044493,0.434360032343965,0.165284491799373,6.13127604335213
"T1658",0.260553971,0.079558785,0.079679842,0.059104816,0.086842058,0.424666550028638,0.189969411572333,6.38132203313986
"T1659",0.258156627,0.067321465,0.067732327,0.067676742,0.074336127,0.0570085060916945,1.58039248205053,20.4656178736409
"T1660",0.25699215,0.085277149,0.082088092,0.063859439,0.089933839,0.399660443367875,0.254226101578985,7.03221042171773
"T8307",0.20276129,0.052407683,0.049593996,0.072514862,0.047729871,0.48466946584741,0.0384374130696965,4.84637807145811
"T8309",0.273493372,0.05396744,0.050431084,0.070893476,0.043754117,0.488942029601573,0.0277217715327384,4.73783393929308
"T8316",0.448025263,0.072902659,0.065922829,0.072643323,0.054395548,0.375738720016922,0.316691841379528,7.66495737329416
"T8319",0.526406876,0.065585106,0.058262197,0.053086182,0.06276903,0.26039007495712,0.642143290572058,10.9616190796991
"T2146",0.907886789,0.072005313,0.092036864,0.067716766,0.065766805,0.432855060277807,0.169109998474748,6.17002652793468
"T2148",0.934919031,0.077410614,0.074779214,0.090517489,0.073844632,0.284332901830369,0.570017537066641,10.2310209821431
"T2149",0.977614626,0.05846629,0.05707589,0.056579275,0.054181635,0.00357892459487039,2.68940978314099,31.6994128907361
"T2154",0.973776447,0.057180041,0.084826194,0.059838037,0.056081804,0.489550815321976,0.0261952172658837,4.72237070197527
"T2118",0.983229039,0.072232112,0.072167453,0.089668458,0.074168663,0.322937322875607,0.459500705208288,9.1115403087444
"T2112",1.028230611,0.085915927,0.117573251,0.081308375,0.074831696,0.489134524641329,0.0272390757935237,4.73294447094608
"T2089",0.699988894,0.066176939,0.061754669,0.077696115,0.045044597,0.493182697761468,0.0170892743127068,4.63013201780617
"T6050",0.179436275,0.066786934,0.066766401,0.069717711,0.06696478,1.42313180508955e-05,4.1854303297612,46.8533587719856
"T6052",0.199895986,0.06939228,0.073041788,0.076344449,0.070918313,0.0265530680622515,1.93405686906388,24.0480626422195
