"","fldB","ompN","pgi","ribA","soxS","ydbK","pval","z","inv_cof_var"
"T4025",0.100194655,0.108452734,0.064894986,0.107796507,0.097062121,0.066942371,0.0791867296191066,1.41056316501971,4.08959399508613
"T4026",0.093295296,0.139699955,0.200687856,0.110186804,0.071631306,0.074431014,0.32971401602521,0.440702989512877,2.50888203939264
"T4027",0.114832323,0.105976348,0.100191628,0.080357606,0.13776624,0.081695768,0.0024643336024661,2.81165934081803,6.37314943131533
"T4028",0.099069469,0.073610009,0.137198293,0.090371432,0.170277614,0.079745927,0.104637932345985,1.25555910913065,3.83696297619026
"T4029",0.113391388,0.096461227,0.078587644,0.073256706,0.10637857,0.084717191,0.0100693750117622,2.32375273985565,5.57794222838015
"T4030",0.094389869,0.112255278,0.099490839,0.130454182,0.076708369,0.076347839,0.0219862248228585,2.01435333851655,5.07367228810186
"T4031",0.120874422,0.136742271,0.107935034,0.115692969,0.144812575,0.088171933,0.00239349110910721,2.82102935537042,6.38842100798385
"T4032",0.112827534,0.081230809,0.103389021,0.111453929,0.159434969,0.093776351,0.000175154585797152,3.57493929146223,7.61716972825548
"T4033",0.116977355,0.072146098,0.069851036,0.075964659,0.220764688,0.058096562,0.147217312465882,1.0484428392926,3.49939765263158
"T4034",0.104974783,0.081202632,0.129621077,0.079349141,0.217722157,0.07695538,0.0727228482964532,1.45580802542046,4.16333564731118
"T4091",0.088644417,0.102578713,0.093254099,0.076938792,0.192619563,0.07546494,0.000151949574517058,3.61195343066554,7.67749666387566
"T4092",0.061650594,0.114470769,0.117391363,0.107253041,0.232720651,0.082114729,0.0846595837447969,1.37439474242741,4.03064543790844
"T4099",0.12014799,0.09663437,0.180601024,0.124475762,0.081537893,0.114008594,0.0863500615320019,1.36357894312283,4.01301747080257
"T4101",0.092421205,0.097266857,0.123588643,0.128309758,0.165243828,0.089752793,0.00665708150985535,2.47525351302037,5.8248634748507
"T5038",0.094414404,0.096525411,0.144019998,0.076694266,0.151781699,0.062498758,0.214803266138101,0.789865139154003,3.07795869430832
"T5039",0.086047494,0.096140572,0.091857625,0.06554015,0.176634605,0.035869192,0.225426680243157,0.753993107467543,3.01949320537104
"T5042",0.101918962,0.106861377,0.098597702,0.08581675,0.131219756,0.077973372,9.46383905580153e-05,3.73291460283403,7.87464340301411
"T5043",0.138301096,0.143488601,0.097157496,0.110104156,0.135262955,0.086406,0.0429120283714223,1.71784957277648,4.59042010469455
"T6958",0.076700555,0.075605019,0.139380584,0.073719644,0.089254498,0.076602736,0.211001086361622,0.802952529355962,3.09928897952212
"T6959",0.106358277,0.11865094,0.168766987,0.066004743,0.084383268,0.078128977,0.293429702473814,0.543392766606171,2.67624942128771
"T6962",0.087269925,0.075813296,0.124640028,0.070051361,0.130518956,0.068624192,0.123605689050983,1.15714927421563,3.67657119339879
"T6963",0.105466262,0.08472164,0.15268843,0.049068418,0.162937623,0.06549545,0.382862109622098,0.297972412665036,2.27625476490071
"T6966",0.12268277,0.101644213,0.133770035,0.101912947,0.076392513,0.083216472,0.0116997296494678,2.26684887437037,5.48519832284681
"T6967",0.105236259,0.123944603,0.076466588,0.07320766,0.069793916,0.081662953,0.0672774479617135,1.49637908786708,4.2294597805462
"T6970",0.113089214,0.08234234,0.117811413,0.09542804,0.087198684,0.080546704,0.00815572480140339,2.40187122046033,5.7052624538837
"T6971",0.09664902,0.070724681,0.099597556,0.095190957,0.090449715,0.071549724,0.00447932412395563,2.61362814048725,6.05039127104795
"T6981",0.153502309,0.100538283,0.060355447,0.090817745,0.080067411,0.070160294,0.30651785180601,0.505744957047396,2.61488970761132
