"","ykgM","znuA","znuB","znuC","zur","pval","z","inv_cof_var"
"T2650",0.072463384,0.071469693,0.063464399,0.072982897,0.361348783,0.452504672109666,0.119335771754132,15.6994233741446
"T2651",0.056168449,0.055389599,0.056361539,0.055907952,0.169910693,0.00234404527938664,2.82771921584126,132.790774351748
"T2653",0.058121848,0.058504427,0.057519091,0.059281523,0.241187135,0.056453256471471,1.58526334758379,79.0757671721227
"T2654",0.058524234,0.060089541,0.058755016,0.059778705,0.373851161,0.0604077887607312,1.55135940675741,77.6100004825898
"T2661",0.060725649,0.057187695,0.062241379,0.059628119,0.405981732,0.341722043372182,0.407767894010055,28.1691890323329
"T2662",0.05543191,0.052742901,0.05588766,0.052546289,0.229459529,0.318855446200601,0.470901758237697,30.8986509447479
"T2427",0.05399102,0.054923851,0.049748184,0.05454129,0.028658103,0.393564523914338,0.27004056274403,22.2148330050554
"T2431",0.086529812,0.085244996,0.084993801,0.092018544,0.14546342,0.3555666574968,0.370334440949273,26.5508311885745
"T2432",0.073627308,0.072945495,0.071012535,0.076755003,0.117108311,0.31932413263309,0.469589587570273,30.8419219625584
"T2429",0.0708942,0.069620882,0.063403918,0.077090742,0.139249405,0.481748240339917,0.0457663485242786,12.5188016732428
"T2430",0.066292165,0.064835223,0.064701651,0.071572527,0.134263633,0.407101932720063,0.23500627167018,20.7001979627627
"T2433",0.063620272,0.061772394,0.057144343,0.066400996,0.114287704,0.449776092695703,0.126227068217323,15.9973543095237
"T2434",0.065390584,0.06304941,0.060771794,0.069369946,0.125362091,0.435053221162732,0.163523283465284,17.6097789605713
"T2338",0.051460922,0.053680328,0.05923932,0.056956737,0.163510254,0.449215595862532,0.127643389983048,16.0585860488219
"T2339",0.048888099,0.051107657,0.057145728,0.054548831,0.163510254,0.463655392790126,0.0912288071665835,14.4842769506864
"T2340",0.056598277,0.059182295,0.065129486,0.062835176,0.163510254,0.449021244651711,0.128134556508115,16.07982061666
"T0066",0.043162083,0.042886552,0.042716281,0.042682036,0.163510254,9.46820508708938e-06,4.27707607773666,195.450717639503
"T0067",0.042855419,0.042226432,0.041001126,0.041346882,0.163510254,0.182391705355542,0.906288046598709,49.7216757319557
"T0068",0.040203054,0.03908105,0.03783831,0.040156994,0.163510254,0.283817417148363,0.571538258138226,35.2494616679253
"T0069",0.03471236,0.034872112,0.035371045,0.034751764,0.163510254,0.00786684981670772,2.41503495609154,114.949224771026
"T0070",0.067423243,0.06790428,0.076994529,0.065981377,0.163510254,0.469215368786485,0.0772423679283624,13.8796022066635
"T0071",0.078412842,0.075957617,0.083616039,0.081942622,0.163510254,0.384976721162438,0.292435796256681,23.1830445606163
"T0064",0.058224704,0.058032822,0.059373237,0.058229648,0.163510254,0.0247225231831666,1.96473388103469,95.481390059444
"T0256",0.063807838,0.054727243,0.061632758,0.066078812,0.01958305,0.481443054372141,0.0465321513702956,12.5519095738314
