"","argP","dapB","lysC","pval","z","inv_cof_var"
"T6193",0.097885151,0.456219487,0.451989146,0.110186197697178,1.22553849477741,151.808207216976
"T6206",0.096371396,0.075322891,0.071442311,0.482185398332562,0.0446694350513256,26.7430821105127
"T6188",0.096387154,0.076298906,0.072623971,0.474994914616425,0.0627195502010585,28.6547588462136
"T6200",0.095795036,0.076322534,0.072342937,0.483418840819748,0.0415747760596094,26.4153286557388
"T6208",0.093218829,0.07167635,0.069316009,0.424272494363222,0.190975243844954,42.2382414847635
"T7306",0.066245546,0.075369914,0.07131231,0.48663135172379,0.0335165058677526,25.5618821526015
"T7318",0.081589359,0.088210025,0.088878327,0.0592237790154726,1.56132300617059,187.370940934415
"T7332",0.074256359,0.076706739,0.07966152,0.442164007880953,0.145484926853472,37.420389633355
"T7372",0.076886265,0.071987061,0.072928909,0.206269549191483,0.819433552576349,108.797879370373
"T7382",0.061489979,0.075803225,0.075689826,1.49904308590085e-18,8.7115269025723,944.644694086715
"T7386",0.06731553,0.068689467,0.068874747,1.02082285585159e-06,4.7492577751349,525.003176640757
"T7388",0.048705623,0.07233434,0.072923692,0.075255524980435,1.43772868801815,174.281141743834
"T7390",0.064965021,0.070639601,0.06636146,0.497619881910863,0.00596610669236309,22.6440361041985
"T7394",0.062357769,0.068704012,0.072252286,0.477118282238394,0.0573874443501984,28.0900387531379
"T7396",0.07258781,0.071768447,0.068965378,0.449324165726248,0.127369024437883,35.5017454082724
"T7398",0.08625725,0.084189601,0.08280591,0.274940034606589,0.597939849344521,85.3396157493343
"T7224",0.074403082,0.072018657,0.075529311,0.470996332645241,0.0727655752371952,29.7187272579684
"T7225",0.068765746,0.07753214,0.081318405,0.471193472870367,0.0722701169135307,29.6662535677452
"T7228",0.056469555,0.088373185,0.087269234,0.196436526133528,0.854418674782101,112.503132420649
"T7229",0.080736354,0.079783805,0.083483058,0.465403548442565,0.0868294266278256,31.2082212193529
"T7238",0.079792969,0.083639498,0.082444701,0.235688965446184,0.720238877233464,98.2922315345911
"T7239",0.073445809,0.067048986,0.069432755,0.430766844066655,0.174422175210566,40.4851160365146
"T7240",0.07040128,0.078404095,0.081409954,0.441512875839863,0.147134636154194,37.5951093437113
"T7446",0.066120913,0.082844286,0.083175618,0.000851817783323296,3.13755457234829,354.308669039931
"T7246",0.062964541,0.06908801,0.069988597,0.205194720116973,0.823208492566676,109.197680972651
"T7256",0.076588036,0.075423864,0.072919867,0.425557374914749,0.187696275846978,41.8909679750468
"T7258",0.074966835,0.078733765,0.075191894,0.467198300292151,0.0823145297204447,30.7300512292819
"T7266",0.076855479,0.072382363,0.068439201,0.487795010570156,0.0305981454937788,25.2528003773863
"T7460",0.078638148,0.073648702,0.078198163,0.494015277130769,0.0150020382701858,23.6010261310995
"T7472",0.064130745,0.069844895,0.066133834,0.48532300252991,0.0367980798639161,25.9094316620039
"T7478",0.076838167,0.076468405,0.078140878,0.341137058994655,0.409361869359219,65.3674363913142
"T7294",0.078450025,0.088676465,0.084903226,0.46045024729883,0.0992994758183668,32.5289165574631
"T7296",0.080908136,0.102033486,0.101303191,0.0493579287484669,1.65111126501045,196.880360909821
"T7297",0.085895745,0.07584096,0.072760114,0.454541636626185,0.114194927023777,34.1064847502939
"T7298",0.084851709,0.061248958,0.058053184,0.483487224803045,0.0414032152398861,26.3971587534915
"T5822",0.111161597,0.354166368,0.349512939,0.211343864332186,0.801767038624797,106.926829604653
"T0152",0.054079115,0.140565351,0.140089392,9.61010697468639e-05,3.72905114867462,416.953712289228
"T1088",0.23818927,0.129916676,0.134711973,0.436202379296674,0.160604692762396,39.0217148602338
