"","aaeR","amiB","ampD","ampE","arfB","comR","crp","cyaA","hflC","hflK","hflX","hfq","miaA","mutL","narQ","nlpE","rof","sohB","speC","spf","trxA","tsaE","yaeP","yaeQ","yjeF","pval","z","inv_cof_var"
"T8256",0.064732301,0.062743885,0.068109724,0.060145342,0.110029443,0.093892495,0.434392717,0.157939855,0.142817339,0.363766991,0.389876331,0.097920002,0.411717953,0.06423879,0.0948887,0.068732824,0.0639112,0.420426532,0.111468796,0.153663852,0.202676792,0.074288647,0.186317491,0.128069498,0.242354233,0.48879994360315,0.0280780669598731,1.34508136725077
"T1635",0.044025346,0.069828228,0.064636434,0.044045076,0.107662688,0.146374731,0.231372254,0.198627152,0.260022774,0.04790727,0.342272851,0.088260722,0.357738875,0.044740071,0.084851148,0.048104159,0.054173382,0.360529297,0.044024285,0.215930664,0.30551689,0.105599431,0.186317491,0.099478563,0.149828682,0.499337011602994,0.00166186622664428,1.33235420767081
"T2300",0.055263407,0.1055875,0.052951617,0.051074755,0.080514388,0.192696786,0.254998092,0.233843572,0.249302872,0.307095189,0.340785862,0.4506395,0.337895362,0.076372308,0.05745935,0.059711479,0.068169192,0.163776241,0.050562641,0.29138128,0.068866183,0.132173019,0.165226358,0.197167772,0.309921962,0.411822921081166,0.222858235502224,1.43892522894323
"T0150",0.065215516,0.078731302,0.420210848,0.067923662,0.128425602,0.066042372,0.375749885,0.11116561,0.141571742,0.065705611,0.158619772,0.467695575,0.233131279,0.347529753,0.081093366,0.074257894,0.066120167,0.353294816,0.122303012,0.293012652,0.358361067,0.097043162,0.125497723,0.069701669,0.208236842,0.470284052354333,0.0745558477287806,1.36747407007514
"T0151",0.062797643,0.070254058,0.416043607,0.048248152,0.084770961,0.153010831,0.326429184,0.24262972,0.233049873,0.055340171,0.169582474,0.255939513,0.255045014,0.057936151,0.092790356,0.057394534,0.051023101,0.167961264,0.052206721,0.149327665,0.243110828,0.059333357,0.192363925,0.166729839,0.209850509,0.324578204890475,0.454934433357429,1.5507380832837
"T1081",0.064464886,0.093957124,0.345722752,0.072611613,0.156346748,0.141749979,0.255109214,0.237772365,0.08320038,0.169287115,0.222175135,0.267715825,0.250426933,0.078655671,0.101748917,0.08029867,0.066357524,0.16554024,0.368149722,0.073211243,0.138519461,0.084956586,0.358589134,0.099830161,0.237351226,0.235989051561974,0.719264275212431,1.67809054070208
"T1082",0.070048027,0.087448877,0.380643259,0.066457235,0.137057372,0.065130363,0.379690481,0.06744918,0.375564007,0.093251789,0.130438612,0.363699179,0.248495247,0.068984329,0.092366866,0.069725263,0.065098646,0.286196315,0.087285373,0.086587158,0.325331409,0.103347658,0.376368787,0.069138242,0.205978681,0.479782688197301,0.0506989963807933,1.35597998895244
"T2389",0.056549544,0.106591927,0.094643998,0.090684389,0.138650274,0.126808748,0.061001163,0.198153912,0.055002494,0.24033407,0.080342098,0.396396245,0.418481193,0.08272033,0.078836305,0.080986559,0.069005583,0.080843464,0.058003567,0.439147969,0.114745173,0.125651435,0.186317491,0.150262853,0.172481637,0.4957414500563,0.0106748044292485,1.33669658468207
"T2390",0.031207966,0.072745164,0.080577007,0.072447416,0.075273341,0.038384904,0.108407563,0.230592258,0.200251542,0.296745232,0.118883656,0.310558584,0.411869418,0.062216162,0.075704016,0.052563312,0.036255755,0.154317817,0.0414093,0.075994658,0.104034068,0.120702866,0.186317491,0.164734657,0.187386122,0.490984033962713,0.022601599515919,1.34244283963669
"T2391",0.051052526,0.112851408,0.094041345,0.091161782,0.153400807,0.149315216,0.147208216,0.202762313,0.073971781,0.221904716,0.14780866,0.402038588,0.40268651,0.081253425,0.068468316,0.082465272,0.070508538,0.053495309,0.048392853,0.515573278,0.172360389,0.130671013,0.186317491,0.16652807,0.188000392,0.497675741385238,0.00582608532054813,1.33436050227272
"T0347",0.037355113,0.05568889,0.185766868,0.05604529,0.112965743,0.231056403,0.412622819,0.292809059,0.140194244,0.150697427,0.169772625,0.039086411,0.08493101,0.067663469,0.061515393,0.21902338,0.193801262,0.095747929,0.035858407,0.170114781,0.028090629,0.093823074,0.266947788,0.11977042,0.227670098,0.254796285956191,0.659472231538343,1.6492831096435
"T0348",0.038034356,0.056943968,0.185791421,0.057690292,0.115261056,0.232815919,0.406030993,0.293530388,0.141751719,0.150482541,0.16770158,0.048124344,0.084782242,0.069138906,0.060395337,0.222079851,0.189787884,0.097158548,0.035926546,0.170008826,0.026476762,0.096377374,0.269233521,0.121901943,0.229948308,0.243647680963655,0.694616989960493,1.66621563348957
"T0349",0.042166163,0.058529935,0.187925419,0.059548765,0.111324713,0.231488504,0.411298902,0.294422121,0.139537998,0.152629605,0.169599275,0.032249678,0.084820495,0.068454726,0.061324243,0.220755804,0.204072552,0.092035567,0.036718408,0.167948797,0.029847674,0.095099558,0.26991955,0.119677866,0.225441583,0.255624591557574,0.656893834162737,1.64804085398413
