"","allA","allB","allR","allS","gcl","glxK","glxR","hyi","ybbW","ybbY","pval","z","inv_cof_var"
"T7275",0.07667482,0.085017685,0.432648614,0.085600128,0.084940863,0.085581355,0.081074126,0.07773248,0.073104867,0.09318556,0.0289144784594813,1.89699228057743,13.6507349919518
"T7468",0.084465582,0.088554541,0.397804716,0.08827796,0.080854193,0.088921752,0.081357862,0.070038617,0.072117465,0.08938707,0.0828527672063762,1.38613549258674,11.2827296937969
"T7470",0.075013247,0.084990384,0.342748475,0.086048665,0.102807697,0.085563048,0.076448051,0.05891207,0.068286485,0.065263433,0.413616839771254,0.218250834309396,5.86916345870374
"T7277",0.082754951,0.082502911,0.47184414,0.080858971,0.07786684,0.082890546,0.082257461,0.090095494,0.088674635,0.061735572,0.136819526276115,1.0947206189679,9.9319167440371
"T7278",0.075291672,0.083265174,0.457472126,0.083605648,0.089519657,0.084009552,0.076594757,0.099234301,0.088996975,0.059870913,0.287576057782082,0.560479944550489,7.45551870597611
"T7279",0.076610516,0.080293412,0.474488245,0.081846684,0.081682514,0.080594952,0.076231188,0.10031419,0.095342932,0.067073939,0.235023282819102,0.722403288562906,8.20609175409885
"T7280",0.075247573,0.082989908,0.444502472,0.083133693,0.08443771,0.086924925,0.078210827,0.096154162,0.094045652,0.050264537,0.397906373434337,0.258769947257222,6.0569841481662
"T7281",0.066187885,0.074869927,0.460256684,0.076260119,0.072315383,0.06315427,0.067720969,0.109441149,0.097498824,0.090372723,0.484437151894303,0.0390201746852785,5.03836476607789
"T7282",0.071767915,0.08278922,0.456614222,0.082840652,0.083182962,0.082723657,0.076744911,0.092186622,0.076651304,0.06676841,0.105004884373453,1.25353857745839,10.6680952112487
"T7472",0.083112516,0.083066411,0.083713714,0.084530824,0.118063966,0.094903953,0.07594719,0.070877457,0.066216793,0.084386151,0.437323115698301,0.157759603874035,5.58876480778975
"T7474",0.087481882,0.082603784,0.469130159,0.087373384,0.085686115,0.090282139,0.075536735,0.088555699,0.092489142,0.079758163,0.00820308352283518,2.39975235248218,15.9812090934193
"T7476",0.088753808,0.087455507,0.370219282,0.085589735,0.088424435,0.083918171,0.083494714,0.067636951,0.067048178,0.067374361,0.228624005001446,0.743386012971794,8.30335424280023
"T7284",0.074875664,0.084405629,0.325747844,0.08363719,0.086176125,0.081397944,0.082091983,0.094065158,0.095632134,0.050305154,0.391688671915679,0.274920465157879,6.13184761842981
"T7285",0.057171322,0.072091106,0.465875556,0.070399054,0.072724494,0.058430858,0.064720891,0.056640283,0.064647718,0.056855527,0.162093394163132,0.985890623998457,9.42745050076871
"T7286",0.070166155,0.079873777,0.426554018,0.07986022,0.080831691,0.077738641,0.073713622,0.068815027,0.068902511,0.108046607,0.359103194429867,0.360856947641797,6.53019418171442
"T7287",0.063635819,0.072843189,0.434867511,0.074639546,0.083460492,0.066146023,0.06777772,0.063886116,0.10878916,0.067025025,0.474452816645389,0.0640811221484497,5.15453128821218
"T7288",0.08392924,0.078295326,0.351836917,0.079400881,0.087477993,0.079623901,0.074296084,0.084328225,0.097456973,0.051657608,0.368582501592424,0.335609972004796,6.41316535195971
"T7478",0.082347919,0.082352053,0.447803999,0.083069911,0.11510009,0.087476143,0.076747813,0.073346226,0.077034628,0.076294627,0.347408410984102,0.392326721748831,6.67606792474581
"T7480",0.080960933,0.084635479,0.270501637,0.087114687,0.083078192,0.085064317,0.077987152,0.05891834,0.059751324,0.0589614,0.390990252669224,0.276739023318198,6.14027729081524
"T7482",0.08152356,0.082718466,0.396272608,0.0816715,0.102901448,0.08176746,0.078384798,0.071474511,0.076163341,0.066406728,0.251329308139174,0.670312474985727,7.9646320623893
"T7484",0.092630055,0.092611556,0.412603064,0.091794263,0.099635665,0.088370981,0.056959509,0.063147032,0.062792493,0.072625594,0.490582642411453,0.0236080075604798,4.96692381772304
"T7486",0.083647781,0.083590053,0.484628357,0.083113403,0.083618017,0.079161271,0.084585627,0.065717344,0.08970787,0.08768758,0.0631063419595624,1.5292088234496,11.9459261384218
"T7492",0.070252262,0.085204204,0.484259693,0.074151619,0.077586787,0.072385658,0.074389337,0.065792671,0.064863766,0.074747083,0.0635477706084791,1.52565606657478,11.929457830081
"T7289",0.065316583,0.078959409,0.406554312,0.079743862,0.074400868,0.071401411,0.071728762,0.094140367,0.064506078,0.100798706,0.377851339485733,0.311128837779776,6.29968647311834
"T7290",0.083796686,0.082912123,0.330180775,0.084479295,0.084412762,0.084816083,0.075782702,0.089231669,0.086270768,0.080517451,8.76469323126384e-05,3.75219380624934,22.2502625801341
"T7291",0.080995912,0.086396649,0.407347138,0.086352701,0.114362223,0.09556072,0.080918691,0.085586241,0.094636446,0.09323038,0.199066931591011,0.844958763260013,8.77418054184326
"T7295",0.104419906,0.079279899,0.202928076,0.080622075,0.078647875,0.082922249,0.075784115,0.116185995,0.107786484,0.070624024,0.453509290821728,0.116799952185677,5.39890206251803
"T7296",0.0765874,0.077292678,0.180363821,0.079550246,0.07195929,0.111454602,0.073521976,0.100011951,0.091437082,0.065580798,0.43794726787232,0.156175693064381,5.58142281042917
"T7299",0.086594463,0.091189091,0.191873035,0.089055812,0.086251607,0.087450143,0.08997242,0.070663257,0.076113345,0.075937091,0.08313326615122,1.3843002670618,11.2742227621704
"T7300",0.074841151,0.080838366,0.087475135,0.087107888,0.08702087,0.094148644,0.081380801,0.072399257,0.070973442,0.072093734,0.141633809945219,1.07300779239494,9.83126996871495
"T7142",0.051204877,0.049778946,0.096133498,0.049383433,0.069046361,0.074256432,0.069279452,0.075937904,0.049763922,0.07620891,0.480401554369243,0.0491457945056271,5.08530066268406
"T7144",0.044262481,0.048695916,0.060041734,0.042016101,0.053215099,0.06097332,0.073785992,0.05991862,0.041654859,0.053623851,0.484074543791321,0.0399298068926018,5.04258123914227
"T7146",0.049953095,0.046154359,0.083205754,0.044524074,0.057610141,0.066137075,0.064360621,0.06713641,0.044599245,0.0444841,0.450551891501344,0.124267116097459,5.43351505802081
"T7152",0.05105639,0.050723997,0.069038367,0.045247071,0.056715568,0.064016881,0.074872671,0.061833519,0.048822224,0.066901224,0.409852441265831,0.227924568415209,5.91400470218728
"T7154",0.050110236,0.045193196,0.05008749,0.041431076,0.057060023,0.064355306,0.073440661,0.054201808,0.045443153,0.063722728,0.472840757085715,0.0681307978475263,5.17330299436674
"T7156",0.056571724,0.052504086,0.063165,0.049513989,0.063729043,0.070635037,0.075593022,0.062749178,0.051270007,0.080004519,0.43119598592209,0.173330091768086,5.66093962996054
"T7160",0.055844811,0.056366571,0.063951883,0.052705085,0.062459309,0.067567119,0.072952098,0.067589742,0.053457237,0.074409091,0.286743538764157,0.562923352734673,7.46684478338513
"T7162",0.049236009,0.045032526,0.045070403,0.041488318,0.053137252,0.059467239,0.063079719,0.059329505,0.04148048,0.06215294,0.399364469027482,0.254992440294389,6.03947404217937
"T7164",0.054600913,0.059903613,0.065168647,0.053486825,0.059014963,0.063346578,0.078559144,0.061396073,0.055399141,0.067561144,0.258327538712649,0.648510104679273,7.86357021959559
"T7157",0.044462937,0.038821408,0.038742958,0.036957308,0.05122508,0.053508905,0.055623358,0.056046969,0.036730107,0.061893059,0.473469586120789,0.0665509790256078,5.16597996484384
"T7159",0.055254907,0.054120939,0.058948637,0.05128887,0.062674809,0.067635909,0.072293672,0.067234532,0.053943084,0.073873891,0.306600648381544,0.505509116816644,7.20070911084536
"T7161",0.049231602,0.042588036,0.042130337,0.03857863,0.053517685,0.059693469,0.060909831,0.059660694,0.039235007,0.065249634,0.473883818824478,0.0655103855221668,5.16115643898043
"T7163",0.052851819,0.054879631,0.050743464,0.050374914,0.060210634,0.063639088,0.077139123,0.055240646,0.062761986,0.051002567,0.326901074225622,0.448486470259928,6.93638859610341
"T5557",0.104974776,0.118122976,0.245328822,0.083895578,0.133695828,0.085700667,0.110896077,0.116397981,0.099795896,0.133323864,0.397119386023592,0.260810337585223,6.06644209258544
"T5573",0.101404934,0.122818007,0.240674993,0.110302014,0.12695453,0.097574032,0.110446437,0.148193501,0.135972842,0.141583827,0.339475715991085,0.413894418122143,6.77604196929532
"T0153",0.039792612,0.049763021,0.276375301,0.048435491,0.052186131,0.04437764,0.063586506,0.065868808,0.043799063,0.069111089,0.488710091662102,0.0283033818893202,4.98868856970225
"T1088",0.042352566,0.041265315,0.226756868,0.041184685,0.042209437,0.041221618,0.045365339,0.046333342,0.041875633,0.047806162,0.00393685882206027,2.65743755176544,17.1756728482397
