"","crp","lsrA","lsrB","lsrC","lsrD","lsrF","lsrG","lsrR","oxyR","rbsR","tam","pval","z","inv_cof_var"
"T6898",0.185263212,0.0790027,0.147640946,0.176471693,0.128966096,0.193884081,0.089130947,0.128853046,0.13793539,0.109984443,0.159245782,0.329827572266627,0.440389339664427,3.71834959945003
"T6902",0.185263212,0.0790027,0.147640946,0.176471693,0.128966096,0.193884081,0.089130947,0.128853046,0.13793539,0.109984443,0.159245782,0.329827572266627,0.440389339664427,3.71834959945003
"T0860",0.595346894,0.053874505,0.058790528,0.045151297,0.0655682,0.047270756,0.059538567,0.044622156,0.068080342,0.044378215,0.056470963,0.0747565923579013,1.44125312533174,6.18973682775517
"T0861",0.405929902,0.058371797,0.062987855,0.045351412,0.071795674,0.051597616,0.064253963,0.047198383,0.07925159,0.045061693,0.055625778,0.164305756848267,0.9769144372557,5.04316651543843
"T0862",0.21875591,0.057021756,0.063059537,0.052896048,0.058086476,0.054306972,0.060634531,0.053417539,0.084755241,0.052821304,0.058863589,0.0701902763064732,1.47437536848502,6.27152406980955
"T0863",0.445225966,0.056306921,0.058675402,0.03890637,0.071595219,0.046634702,0.059979655,0.043099803,0.074473551,0.039117715,0.050377819,0.251896014683873,0.668535186160568,4.28169971691431
"T0864",0.397313862,0.051408054,0.051563655,0.053887399,0.059493696,0.049043909,0.052850847,0.049689354,0.112359473,0.052393661,0.073378027,0.424287223701733,0.190937643544663,3.10238992072271
"T0865",0.072419776,0.061394444,0.068153793,0.051813247,0.06953844,0.057913023,0.066590901,0.05716653,0.085134511,0.051551647,0.055316563,0.0806879974554796,1.40045872566274,6.08900508006673
"T0866",0.127057597,0.0688695,0.07058241,0.065680811,0.07935501,0.06471927,0.071668412,0.063669902,0.080918483,0.065206207,0.070182345,0.000112365921953747,3.68945854371084,11.7411277734112
"T0867",0.05453836,0.049325829,0.051101369,0.03989316,0.06573949,0.039707678,0.053825313,0.035861803,0.095959321,0.038124028,0.071913833,0.463606900706108,0.0913508663478496,2.85648484073405
"T0868",0.424366701,0.053533337,0.078157295,0.05030363,0.067042959,0.054947348,0.062303292,0.055315346,0.084916008,0.050307409,0.051295085,0.172583010125114,0.944007099691754,4.9619099299393
"T0896",0.061001163,0.058638894,0.060373802,0.057369449,0.065442574,0.054268723,0.061938167,0.052744239,0.113651693,0.055382847,0.082159652,0.35531355193858,0.371014000498535,3.5470442433874
"T1660",0.25699215,0.094371718,0.104034667,0.050587526,0.09038825,0.099431696,0.111576824,0.094729466,0.055098711,0.04938834,0.063624022,0.378119908567907,0.310422327711072,3.39742799349108
