"","mngA","mngB","mngR","pval","z","inv_cof_var"
"T7310",0.060024596,0.058763981,0.056714481,0.288436176407577,0.557959042047773,35.0168864410016
"T7311",0.057667948,0.057561145,0.065374408,0.471627379284664,0.071179673506028,13.4363317540111
"T7312",0.060700721,0.057808923,0.050152755,0.499690898221964,0.000774803334084612,10.3150487885318
"T7313",0.069861278,0.069452134,0.070288621,0.00020324082747773,3.53583944566154,167.036267406185
"T7314",0.068700474,0.066913999,0.068711663,0.105117920082622,1.25291720394238,65.8267021134808
"T7316",0.071195744,0.07034005,0.072727482,0.135667936253136,1.09999139187912,59.0469902695498
"T7317",0.070640341,0.070261748,0.077766041,0.437618316972344,0.157010422592401,17.2414954363436
"T7318",0.073806092,0.071388963,0.068062031,0.372939325396253,0.324078437916019,24.6481783693922
"T7319",0.066454994,0.065405499,0.071241005,0.397814227910688,0.259008793377081,21.763423769701
"T7320",0.068285123,0.06623429,0.059693603,0.462736495973778,0.093541990966873,14.4277279513013
"T7321",0.065397632,0.063120111,0.067078486,0.305599361823089,0.508363102853752,32.8181328635121
"T7322",0.060466259,0.058409788,0.055720422,0.374599421348252,0.319695933550978,24.4538873183991
"T7323",0.076154498,0.077183724,0.081858953,0.36325508411073,0.34977152814209,25.7872388442898
"T7324",0.072091115,0.069305277,0.062319015,0.471158232363061,0.0723586830357245,13.4886011829894
"T7326",0.080880104,0.079687939,0.072034308,0.44731546019592,0.132446773779126,16.152506870302
"T7328",0.07483084,0.073449053,0.070322436,0.315721845043081,0.479695834768292,31.547217153797
"T7330",0.067080883,0.064937714,0.059317197,0.449508580309181,0.126903014613167,15.9067335167376
"T7332",0.067344067,0.067464911,0.0750938,0.450827197194554,0.123571708144974,15.7590455782957
"T7334",0.084749274,0.083650677,0.076297747,0.433104035136195,0.168476956905934,17.7498451874121
"T7340",0.077088308,0.075195874,0.070091159,0.409022352148403,0.230060569220417,20.4800523392814
"T7342",0.066751105,0.064502069,0.062367001,0.332815446784246,0.432152068194532,29.4394432404444
