"","cirA","crp","entA","entB","entC","entD","entE","entH","fepA","fiu","fur","pval","z","inv_cof_var"
"T2417",0.106594332,0.318920183,0.085462839,0.099202324,0.094017814,0.050767623,0.045169231,0.081360115,0.06319246,0.043534319,0.237736956,0.46208061104898,0.0951933875621351,3.06861756048035
"T2418",0.115587546,0.276332773,0.095301217,0.107719713,0.104165475,0.061732584,0.073425258,0.103766632,0.083442994,0.053921789,0.312727907,0.293086256068462,0.544390891884388,4.07796471362972
"T2688",0.064707171,0.272894608,0.056580267,0.062402939,0.060205407,0.05067559,0.057150778,0.074472045,0.062835226,0.050517028,0.116714993,0.0102126651817549,2.3184416559822,8.06425820603525
"T2689",0.09751443,0.347152769,0.07614303,0.09149277,0.085657618,0.042149118,0.078499819,0.105045659,0.091579139,0.04376826,0.29968367,0.379717325002468,0.306223277879313,3.54280189358889
"T2690",0.084060238,0.395099725,0.068379608,0.083955318,0.07489974,0.032490252,0.06920482,0.097815146,0.082728052,0.029625552,0.073114246,0.481903786222379,0.0453760477497037,2.9566779578928
"T2419",0.090958746,0.326683138,0.07442612,0.08411784,0.086622653,0.045740894,0.064322708,0.082991552,0.080490881,0.041650307,0.215937473,0.301371628107654,0.520459632788732,4.02419115521264
"T2420",0.093524545,0.311816562,0.078500255,0.088731588,0.089490762,0.054317951,0.071185278,0.077768266,0.083397792,0.04929523,0.21478591,0.179002573464849,0.919172893376146,4.92010017212495
"T5662",0.091098851,0.350484591,0.169169548,0.12284086,0.099769791,0.089862706,0.140400566,0.088021211,0.092000224,0.087136217,0.351128487,0.346408126732291,0.395036090102147,3.74236435401609
"T5666",0.115946075,0.042157787,0.08422845,0.110600435,0.098031273,0.073139728,0.162137055,0.122334742,0.111156513,0.048263218,0.194919595,0.444300844944174,0.140073788816756,3.16946385816159
"T5670",0.093356802,0.058456312,0.079439708,0.095947098,0.086704085,0.066561266,0.148047412,0.107955566,0.106695984,0.058757332,0.163498949,0.376618062557467,0.314375153181993,3.56111916394417
"T2667",0.080225033,0.268582013,0.052068714,0.072388704,0.061718068,0.03973048,0.054347057,0.091594593,0.071731819,0.038222361,0.220346253,0.396246869618989,0.263073745773818,3.44584486027651
"T2668",0.080625821,0.2673221,0.057205259,0.076486942,0.067683097,0.042449768,0.060649988,0.086187675,0.075639195,0.041018662,0.110392143,0.301298099963123,0.520670684003565,4.02466538746195
"T2669",0.087420938,0.260000669,0.057042422,0.082092541,0.071672316,0.036994589,0.061636512,0.093510833,0.08084596,0.035225296,0.124032999,0.442898981578519,0.143623271527107,3.17743954866382
