"","fpr","marA","pqiA","pqiB","pqiC","soxS","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","pval","z","inv_cof_var"
"T6181",0.196285921,0.054155083,0.061793302,0.072105888,0.100784761,0.05630207,0.134432229,0.084699112,0.160335326,0.1427396,0.13181173,0.158634118,0.173350001,0.065454073,0.16591735,0.115332172,0.247592730199411,0.682084595881489,2.89875874676224
"T6193",0.055711062,0.058033008,0.062551567,0.077414301,0.097566852,0.058341468,0.12973056,0.08421775,0.165223934,0.139066661,0.126864231,0.162322835,0.182807329,0.070896668,0.173202046,0.110734662,0.318884315543167,0.470820909986742,2.69448845949993
"T6206",0.054398632,0.05412541,0.06359227,0.073281708,0.096029784,0.068874593,0.126122757,0.082034592,0.165067568,0.135607759,0.123372967,0.16186348,0.187527377,0.065647175,0.174121803,0.108558097,0.362109199278938,0.352826656225658,2.58040013424423
"T6217",0.061042939,0.056657492,0.068060322,0.175930509,0.101695932,0.064673548,0.130338342,0.08848769,0.158484897,0.138258348,0.127865967,0.156496983,0.173696225,0.075181435,0.164548944,0.113702266,0.184760021283855,0.897372760756934,3.10692029188075
"T6175",0.233698103,0.052678464,0.058851053,0.069345212,0.096726754,0.053681811,0.13555876,0.080129652,0.167644443,0.145829223,0.132205032,0.165660575,0.187969749,0.06268062,0.173175229,0.112654023,0.406038531060605,0.237747342639813,2.46913025677063
"T6188",0.074658921,0.053167716,0.062766921,0.073494097,0.09602761,0.059348534,0.129020594,0.0815655,0.158554924,0.137025425,0.126270749,0.156054988,0.184245809,0.064708498,0.166780876,0.109720016,0.275362434485988,0.596674278085746,2.81617574118127
"T6200",0.053185632,0.052762311,0.062532426,0.072640848,0.095476624,0.073739073,0.124725288,0.081415335,0.165561444,0.13368409,0.122040935,0.161647444,0.193537179,0.063786771,0.177060308,0.107643958,0.395868542416512,0.264055588534154,2.49456762866654
"T6211",0.056757596,0.05414099,0.065086067,0.187398864,0.099316417,0.065947841,0.128757025,0.084810888,0.162909557,0.137345291,0.126185946,0.160099175,0.183062431,0.073598896,0.171202047,0.111571341,0.275812955153064,0.595325505220477,2.81487161634092
"T6183",0.226295021,0.053820662,0.06059899,0.073816401,0.099611903,0.053785374,0.132979585,0.083001613,0.159720057,0.141118663,0.130449999,0.157678222,0.178342975,0.064794413,0.166065332,0.11410674,0.335777159817732,0.42401576004158,2.64923268644002
"T6195",0.058711111,0.061142889,0.065192631,0.185069148,0.099913755,0.066817537,0.129756872,0.085277563,0.156706882,0.137871517,0.127179131,0.155288888,0.171154015,0.071625644,0.160889268,0.112565925,0.22644391317941,0.750609293649799,2.96501509194723
