"","htrE","ibpA","ibpB","ihfA","yadV","pval","z","inv_cof_var"
"T6029",0.054788399,0.071269459,0.06267516,0.284885595,0.072651043,0.378447672947457,0.309560305648804,7.86583630798452
"T6039",0.070559007,0.08633395,0.072551816,0.284885595,0.072651043,0.278316461151257,0.58785008559213,10.3872852980261
"T6052",0.070202319,0.085721817,0.070326992,0.284885595,0.072651043,0.289995774539897,0.553397063769383,10.0751231442577
"T6111",0.046276649,0.055179195,0.056622166,0.284885595,0.072651043,0.491487370690169,0.021339616811951,5.25440815951009
"T6190",0.047963213,0.050991942,0.060119033,0.284885595,0.072651043,0.492840496575995,0.0179471771361648,5.22367090571647
"T6192",0.050152512,0.056507766,0.061454097,0.284885595,0.072651043,0.444272894262614,0.140144541849894,6.33084207781599
"T6194",0.050334142,0.054848256,0.06082111,0.284885595,0.072651043,0.451157276058407,0.122738024731975,6.17313005182619
"T6196",0.048776676,0.053982046,0.066734305,0.284885595,0.072651043,0.481671911454651,0.0459578779858306,5.47746230754994
"T6201",0.047669514,0.054572848,0.059655861,0.284885595,0.072651043,0.478248131240652,0.0545508926091135,5.5553194536072
"T6203",0.049634147,0.050645591,0.053651429,0.284885595,0.072651043,0.492028572450375,0.0199827354888226,5.24211411463893
"T6207",0.053923189,0.060331562,0.068184016,0.284885595,0.072651043,0.386494431233467,0.288467555394838,7.67472510786826
"T6210",0.0506114,0.054845871,0.054163637,0.284885595,0.072651043,0.464568050891619,0.0889318115033227,5.86682831764151
"T6214",0.049752179,0.050274367,0.051666546,0.284885595,0.072651043,0.499818554702313,0.000454815929160858,5.06518108798826
"T6216",0.050340786,0.051278498,0.0516507,0.284885595,0.072651043,0.492462013041537,0.0188960556908322,5.23226823499613
"T6218",0.056317864,0.085005361,0.074302752,0.284885595,0.072651043,0.45499580480827,0.113049123836017,6.08534361071541
"T6220",0.054437499,0.071032273,0.078981242,0.284885595,0.072651043,0.431838118487743,0.171696373536345,6.61671795207901
"T3654",0.073400738,0.071718184,0.070761183,0.414892617,0.057769185,0.310934347024443,0.493203657173403,9.529739823679
"T7301",0.054954177,0.072524792,0.082852676,0.271958242,0.057281716,0.499380158349292,0.00155371323257655,5.07513766453383
"T7305",0.06596057,0.05986009,0.07682769,0.293624992,0.062077897,0.340460744793513,0.411205999297508,8.78679873658967
"T7306",0.056667137,0.073286897,0.081338343,0.285753169,0.057825306,0.477054090603824,0.0575486148357266,5.58248036365664
"T7307",0.072527739,0.078047927,0.083914008,0.137027693,0.071811979,0.172961228791622,0.942527853627811,13.6008488726061
"T7309",0.077261269,0.071538839,0.080055566,0.178659794,0.074258942,0.0436333725308346,1.70999528434857,20.5544997701515
"T7310",0.056562235,0.070134214,0.079670026,0.271531834,0.056251721,0.468544379185429,0.0789294251377201,5.77620153643276
"T7311",0.064137447,0.06703037,0.075988435,0.240120861,0.060765356,0.283051098808283,0.573801405396608,10.2599970070309
"T7313",0.069248106,0.074010706,0.078472504,0.123369368,0.068223731,0.127829632585117,1.13671065129892,15.3602452082206
"T7314",0.06767963,0.077409408,0.080017526,0.222059287,0.065510382,0.285799244390365,0.565698891695608,10.1865840524037
"T7315",0.08551064,0.072613096,0.076073922,0.13231628,0.081018123,0.163136815542956,0.98164731092249,13.9552913393999
"T7316",0.07222999,0.080285482,0.082556043,0.225382707,0.07115197,0.178510835969287,0.921055078080112,13.4062944472543
"T7317",0.076437568,0.073459348,0.084250655,0.099464663,0.073246386,0.137889528517602,1.08985038055076,14.9356669776615
"T7318",0.067511629,0.081777702,0.088129582,0.255140699,0.06745681,0.401605754735185,0.249192979825382,7.31887718947154
"T7319",0.069892797,0.072985387,0.07677406,0.07918667,0.066609428,0.103584686155933,1.26138721504437,16.4898792026915
"T7320",0.060123217,0.079861154,0.083940865,0.110381293,0.061802782,0.465545783737227,0.0864715546268816,5.84453712097015
"T7321",0.065449109,0.074211465,0.074193571,0.074551621,0.062822799,0.231734587229889,0.733146347832963,11.7037443996092
