"","nadA","nadB","nadR","pnuC","pval","z","inv_cof_var"
"T2151",0.078624831,0.103825304,0.077873832,0.098231588,0.317004304469029,0.476092318946975,7.06989448459847
"T2152",0.065203757,0.046882229,0.08013094,0.052888058,0.385222709412663,0.291792318389697,5.88766156553676
"T2125",0.045092434,0.041278758,0.076338532,0.035699905,0.236754208084581,0.716782330210427,8.61385353909967
"T2126",0.076088377,0.074218725,0.094331436,0.096246917,0.336184204804734,0.42289974399424,6.72867900457335
"T2127",0.057518456,0.0640523,0.085935083,0.047254319,0.340909679718513,0.409981716858439,6.6458134761789
"T2135",0.08648947,0.060369062,0.093568677,0.082180243,0.411428154057022,0.223872765193684,5.45197664207778
"T2136",0.066864059,0.088081591,0.093808478,0.086729163,0.333174938888055,0.431162968741702,6.7816852784991
"T2128",0.071525998,0.047192623,0.078777613,0.054426096,0.462558778594374,0.0939894249834192,4.618811368231
"T2130",0.068594766,0.063814777,0.095081543,0.089128822,0.409080030833793,0.229912115525007,5.49071738407369
"T2122",0.069870183,0.053620361,0.096451846,0.070851061,0.338159760074322,0.417490707072723,6.69398154668024
"T2124",0.06439411,0.056989667,0.105593279,0.084023986,0.445123987191997,0.137990438301793,4.90106555303708
"T2137",0.073286617,0.054764163,0.089343497,0.066150924,0.324856616424365,0.454160608446923,6.92920870030063
"T2112",0.094698412,0.067482285,0.079722934,0.111410893,0.4939576013925,0.0151466263334542,4.11305688253867
"T6034",0.046430265,0.045781436,0.057761882,0.045686826,1.03153465630281e-65,17.0807898973886,113.584381890674
"T6045",0.067041433,0.057052479,0.067316163,0.060617827,0.10203444575917,1.27004418510285,12.1628734834142
"T6058",0.058756298,0.050289081,0.056528509,0.051553953,0.114854581635355,1.20110837877575,11.7206695805627
"T6069",0.06047338,0.050193351,0.059159302,0.051989254,0.180532864030469,0.913336239851725,9.87469185513647
"T6030",0.052951289,0.050988719,0.061162627,0.051534524,9.95043648775853e-14,7.34946031333425,51.1606263523085
"T6041",0.054906054,0.051088334,0.060635269,0.052603766,0.000125548902987569,3.66113764447055,27.5010687719111
"T6054",0.059045013,0.047763323,0.057552759,0.049399576,0.240265592063462,0.705448478276629,8.54115005122451
"T6065",0.059458493,0.048999982,0.058117583,0.050628642,0.199613286894211,0.843003343635861,9.42352601168602
"T6036",0.045549147,0.047261788,0.062829225,0.046509015,2.91124487561044e-15,7.80773488740896,54.1003294765726
"T6047",0.064560209,0.055997057,0.067840786,0.058782976,0.0658312957578857,1.50757790374964,13.6865858042077
