"","arcA","fadE","fadI","fadJ","fadR","pval","z","inv_cof_var"
"T2123",0.354230127,0.044155179,0.043699368,0.049792564,0.069416385,0.475573278362879,0.0612670186733814,13.5187206903398
"T6031",0.235493155,0.05226553,0.056319843,0.053756586,0.133691553,0.355423685769911,0.37071828268748,26.3887015465363
"T6033",0.135587086,0.052270763,0.058314565,0.059562423,0.133691553,0.465773891187383,0.0858976465549471,14.5431007662195
"T6035",0.079702868,0.052012557,0.05262919,0.056843076,0.133691553,0.409622792781008,0.228515399722464,20.4745283170731
"T6037",0.066158783,0.066102582,0.068721544,0.074524334,0.133691553,0.450057078865823,0.125517138554597,16.190862992017
"T6039",0.080311098,0.074438945,0.078629509,0.083262396,0.133691553,0.434322010125334,0.165381110923201,17.8487930795558
"T6046",0.166078111,0.058275479,0.062609698,0.066129969,0.133691553,0.453350580858607,0.117200511346123,15.844977079086
"T6048",0.104674043,0.051655095,0.05224748,0.056096176,0.133691553,0.394339379349715,0.268026710480717,22.1177913190261
"T6052",0.208708118,0.074937889,0.077737185,0.088057191,0.133691553,0.493834376501548,0.0154555414904619,11.6134357459829
"T6055",0.319422204,0.04520066,0.050847898,0.046460131,0.133691553,0.451647056272801,0.12150113906486,16.0238388348656
"T6059",0.11889386,0.050234948,0.053189786,0.052912281,0.133691553,0.307096171528049,0.504098240857352,31.9359321054922
"T6061",0.060361857,0.061131269,0.065232516,0.065844721,0.133691553,0.367948144313821,0.337292664910754,24.9985406038638
"T6063",0.065856063,0.061302024,0.063932781,0.06711434,0.133691553,0.395158484153631,0.26589903500361,22.0293019643427
"T6066",0.414881075,0.042859343,0.038315519,0.03749915,0.133691553,0.473864631139074,0.0655585853093498,13.6972055985336
"T6068",0.323354805,0.042198187,0.045556429,0.048745881,0.133691553,0.471957014607197,0.070351328783003,13.8965342939619
"T6085",0.699767657,0.035883458,0.034392265,0.034392716,0.133691553,0.238616234167009,0.710760812200067,40.5309635245653
"T6103",0.618034493,0.041916649,0.046471337,0.040831994,0.133691553,0.467193050882924,0.0823277326990973,14.3946291704436
"T6107",0.600043845,0.039119356,0.040889174,0.041039703,0.133691553,0.259561901630658,0.644696625957323,37.7833747728012
"T6122",0.411507061,0.043463297,0.046725711,0.044963576,0.133691553,0.344737760817126,0.399566924927994,27.588507514515
"T6082",0.625270094,0.060093693,0.060498795,0.05262777,0.120587409,0.480273965183898,0.0494660021539113,13.0279201205857
"T6093",0.624675455,0.062311929,0.058333071,0.057159977,0.124422063,0.3959049331493,0.263961135483775,21.9487053321041
"T6078",0.601450522,0.058796611,0.060003576,0.056472788,0.118986907,0.301879845083967,0.51900150725956,32.5557542732972
"T6089",0.648240512,0.059282341,0.058840002,0.05533614,0.122968448,0.352250152053899,0.379252587345207,26.7436405961983
"T6086",0.65618212,0.059418845,0.060041099,0.051018367,0.119425199,0.497064494615427,0.00735828719842668,11.2766734837305
"T6080",0.636702838,0.058327796,0.060037989,0.051060852,0.119394189,0.491582725386801,0.0211005442125268,11.8482096358154
"T6091",0.64403212,0.062861756,0.05933173,0.052706318,0.121866428,0.496766245968014,0.00810590805635869,11.3077668003468
"T6088",0.60549672,0.060841374,0.061094193,0.056409532,0.120962454,0.390223047324196,0.278737743772876,22.5632598287747
"T6162",0.232298955,0.069077603,0.058633971,0.067479859,0.12110422,0.494288960777251,0.0143159413778129,11.5660401353034
"T6136",0.22950731,0.059015818,0.055360081,0.065667878,0.121781001,0.495076809070483,0.0123409228285969,11.4838997342938
"T6151",0.224011176,0.055154856,0.055691933,0.063721552,0.128422182,0.488912316406222,0.0277962801696411,12.1266831908055
"T6171",0.217441267,0.067081168,0.059450757,0.070053151,0.122433173,0.490303989503712,0.0243066873084531,11.9815521199647
"T6213",0.268981391,0.052688121,0.053752093,0.058044529,0.123536762,0.420305787739265,0.201111262796187,19.334798871322
"T7307",0.399513936,0.08388308,0.075940699,0.084922925,0.073177422,0.446124240961463,0.135459628326779,16.6043680182078
"T7311",0.415763353,0.090184781,0.088897589,0.084450591,0.072111146,0.330607217905957,0.438237074258062,29.1967868769207
"T7314",0.416708821,0.080552526,0.078606885,0.072375211,0.104537576,0.432257647666304,0.170629252146167,18.0670616243148
"T7316",0.415799745,0.085780047,0.075348108,0.07567279,0.090211859,0.477592904471366,0.0561958226571994,13.3078112411436
"T7317",0.3575423,0.098341919,0.091002545,0.090005821,0.076574827,0.409813918969419,0.228023671625428,20.4540774999938
"T7323",0.39515073,0.088835255,0.102587396,0.097867768,0.068490039,0.47288430270652,0.0680213919437343,13.7996329527666
"T7324",0.418299138,0.088600973,0.076846882,0.076297846,0.086379509,0.494018128450062,0.014994890268684,11.5942774063828
"T7326",0.416634719,0.079849355,0.086547119,0.087666896,0.073588802,0.413755351248812,0.217895282967549,20.0328409975471
"T7328",0.410168683,0.085319704,0.083381882,0.083587803,0.072090472,0.0509180129357362,1.636017017496,79.0120784334808
