"","cdaR","garD","gudD","gudP","gudX","pval","z","inv_cof_var"
"T0004",0.030247903,0.029668892,0.02661709,0.029305062,0.026620039,0.376361200524973,0.315051698830527,16.3486532602998
"T0005",0.04610763,0.046021826,0.042426201,0.041983575,0.042921725,0.290056609107701,0.55321935044817,21.8255281348694
"T2826",0.042964048,0.04462273,0.042267131,0.044011563,0.042792401,0.0586225302679945,1.56644249729436,45.1254866204287
"T2403",0.049890406,0.048813388,0.049274276,0.056354485,0.048513288,0.391478179833795,0.275468452712721,15.4384016596141
"T2404",0.034210702,0.033124793,0.031183229,0.03619018,0.03144243,0.381096496399117,0.302602258881617,16.0623674259494
"T0008",0.036911859,0.037966716,0.030967324,0.029969124,0.032329754,0.495752959106929,0.010645953878231,9.34857510157326
"T0009",0.064845432,0.064664543,0.064520465,0.065891663,0.06414939,4.58339430056448e-05,3.91164949426818,99.0555866577389
"T0010",0.033469619,0.033363061,0.031241486,0.031813141,0.031712622,0.164547658791516,0.975937741750862,31.5463097801493
"T2674",0.044695191,0.045022634,0.045859381,0.049140296,0.04829093,0.268255796242742,0.618096707573971,23.3174400916671
"T2675",0.054879819,0.055428274,0.05509167,0.056734985,0.055702818,0.00164609916213661,2.93905011880794,76.6898075676718
"T2676",0.038866781,0.038824897,0.041061531,0.04548878,0.042367263,0.400587772766088,0.251826018356685,14.8947230625471
"T0011",0.029215707,0.031099748,0.029186088,0.031916762,0.028622807,0.300293356915474,0.523556974307854,21.1434156754338
"T0013",0.034723932,0.035071115,0.036628633,0.040132753,0.035440835,0.373967355761203,0.321363801647478,16.4938056228859
"T0014",0.038559724,0.039919758,0.038635461,0.039775526,0.038569273,0.0197250061196695,2.05946188956452,56.4629016885965
"T0007",0.048023941,0.047390784,0.047849804,0.05047402,0.047356065,0.110196526481535,1.22548363327823,37.2848373008911
"T1865",0.092821846,0.087647355,0.088394163,0.106467675,0.096231505,0.443792346765853,0.141361087081368,12.3544846946846
"T1869",0.085799665,0.080948794,0.088394163,0.104040391,0.091171785,0.477703344303554,0.0559185557494325,10.38965844774
"T2817",0.050552325,0.051588051,0.052081455,0.047312971,0.053458593,0.286397334147471,0.563940438059385,22.0720689852625
"T2821",0.035188798,0.039236573,0.033780091,0.039654547,0.034292189,0.432710445312377,0.169477726478389,13.0010515765637
"T2825",0.03864984,0.039862507,0.039313629,0.042729312,0.040040847,0.234266463958893,0.724868140246636,25.7727432067413
"T0709",0.072541573,0.071819917,0.088394163,0.084186367,0.077175227,0.469945971230615,0.0754056770223105,10.8377819613751
"T0711",0.087528683,0.087686921,0.088394163,0.092670941,0.088641546,0.0755816229549887,1.43543476279944,42.1128484029539
"T1075",0.071454734,0.069808184,0.088394163,0.075293774,0.070084518,0.491045890515136,0.0224465087961555,9.61993925324117
"T1077",0.077165677,0.077231222,0.088394163,0.087526872,0.080309675,0.399257205639309,0.255270204316944,14.9739251515838
"T1916",0.044277403,0.044519763,0.037951196,0.035328248,0.038803955,0.486380498001967,0.0341456628554089,9.88897160287239
"T1917",0.036398329,0.036621317,0.031953739,0.031041568,0.032607805,0.433558920681673,0.167320542553532,12.951445232639
"T2524",0.033829594,0.034792553,0.032936599,0.03599458,0.033128579,0.219261372157732,0.774690198161598,26.9184453007934
"T2525",0.040983457,0.041807236,0.040029693,0.041867116,0.040161221,0.049847758038756,1.64633155581726,46.9626058698536
"T2526",0.036599791,0.037993121,0.03493063,0.039123793,0.034931361,0.321590798396228,0.463255000404227,19.75671868482
"T2647",0.054154596,0.056951325,0.049788156,0.049587032,0.056332211,0.39561084840011,0.264724507213634,15.1913351719613
