"","alaE","kbl","lrp","tdh","yojI","pval","z","inv_cof_var"
"T4118",0.134829269,0.196589605,0.249535204,0.139789913,0.073653969,0.425053732265999,0.188981310978234,2.71103050298144
"T4833",0.092200804,0.118842696,0.25312883,0.079416317,0.069953458,0.208280271339766,0.81240279551324,4.24659881929419
"T4835",0.12780438,0.072165446,0.251308018,0.1075518,0.08884228,0.221982928715088,0.765513455120101,4.13110426662536
"T4837",0.133106776,0.148105575,0.257998336,0.143118512,0.088098879,0.161801915922768,0.987079163013303,4.67684946383488
"T4839",0.132846645,0.094816261,0.249104117,0.078474137,0.096432542,0.192519135152499,0.868650597774558,4.38514448247281
"T4843",0.123426209,0.117287951,0.240988872,0.080485732,0.08822397,0.14664046344021,1.05095136649695,4.83417502029324
"T4846",0.120420353,0.114989147,0.197646152,0.066394331,0.133742829,0.276997080149108,0.591785610193562,3.70318995672719
"T4848",0.126624605,0.151098017,0.260464625,0.074432318,0.076103934,0.408853261449634,0.230495804959172,2.8132861088697
"T4850",0.155296179,0.071501069,0.257674683,0.072516952,0.105030248,0.447799906644854,0.131221847875763,2.56876142225904
"T4852",0.135627006,0.086291335,0.24067392,0.081954052,0.095369218,0.229431762463846,0.740719513954837,4.07003356015412
"T4854",0.115034263,0.065477655,0.259946736,0.167382927,0.079774497,0.482044552724673,0.04502283783522,2.35644203321118
"T4856",0.088599001,0.103886,0.240591514,0.114460928,0.095805349,0.00280565465519277,2.76967011517602,9.06760315935199
"T7010",0.095642099,0.111396787,0.149275805,0.100256224,0.119234915,0.000852718256728341,3.13724482954347,9.97298755700612
"T7012",0.070649316,0.08056259,0.313248452,0.09528285,0.141445796,0.364862157985716,0.345492276132816,3.09653739552327
"T5994",0.074492132,0.20022598,0.07472798,0.141228875,0.108873698,0.466361325252602,0.0844198186769243,2.45348192843395
"T5998",0.078339057,0.201726694,0.103256503,0.131607701,0.097322592,0.484324150059788,0.039303645569682,2.3423549177432
"T6000",0.085431202,0.196030612,0.093845841,0.14284006,0.102117538,0.431294445146488,0.17307956118815,2.67186242206456
"T6002",0.080196579,0.193959054,0.092777913,0.127366859,0.094513866,0.467125146541199,0.0824985226546995,2.4487495260847
"T6004",0.074064933,0.192526442,0.075393787,0.130191866,0.102285007,0.464790749083449,0.0883713920347469,2.46321516830197
"T6006",0.071475867,0.197433769,0.08809189,0.12964074,0.104304189,0.482512071351307,0.0438497847843248,2.35355265075807
"T6008",0.077364639,0.192310882,0.081007463,0.122434788,0.102144524,0.458638810890654,0.103863564767303,2.50137440757923
"T6010",0.078369817,0.1920279,0.082150133,0.112255173,0.100857199,0.468050226626354,0.0801720075069491,2.44301901624997
"T6012",0.070416179,0.202099969,0.097846081,0.142066063,0.099806581,0.499244079290223,0.00189481335833706,2.25021209155099
