"","lolA","osmB","rarA","rcsB","pval","z","inv_cof_var"
"T7319",0.125472341,0.07088214,0.089783814,0.339823447,0.4990974036642,0.0022624754260845,3.44057619206577
"T7334",0.123060679,0.076415504,0.078501648,0.354972656,0.496619355289722,0.00847412103830492,3.5166091617961
"T7344",0.12935493,0.077264876,0.086240221,0.359021216,0.496979601450533,0.00757108873500757,3.50555569350952
"T7348",0.121295286,0.073536449,0.08137116,0.356073343,0.494079772767955,0.0148403536843521,3.59453433723122
"T7354",0.119874935,0.071294953,0.08134305,0.355904976,0.495783413207723,0.0105696124730448,3.54225879585028
"T7364",0.128659956,0.086927885,0.080021849,0.365697113,0.489193819510471,0.0270903907489364,3.74447957806957
"T7410",0.130147739,0.073177179,0.093090568,0.349891896,0.499851301506467,0.000372731856915216,3.41744499228998
"T7398",0.130058991,0.079496076,0.083469242,0.367043953,0.498007613879496,0.00499419214437997,3.4740134722199
"T7412",0.136123999,0.086541423,0.100261731,0.341579711,0.474219025470759,0.0646683652650948,4.20444867116994
"T7418",0.129572946,0.084974672,0.079304327,0.363082311,0.495280460443748,0.0118304072502276,3.5576914166265
"T7420",0.131484947,0.083815163,0.088208678,0.368409477,0.486079056181796,0.034901715892938,3.84009325040451
"T7426",0.118580298,0.07229093,0.080006071,0.382823002,0.492570658574259,0.018623673799949,3.64084365392234
"T7428",0.132460651,0.090027129,0.086855482,0.365594217,0.479263200575802,0.0520028768137101,4.04941814300373
"T7434",0.115561123,0.068199399,0.079997597,0.366547017,0.495008254496972,0.0125127769300354,3.56604388816925
"T7223",0.128858965,0.083104689,0.078814197,0.352663292,0.497344718388366,0.00665585310730819,3.49435285176336
"T7231",0.134421392,0.093475913,0.081215061,0.361920882,0.490704157731932,0.0233033300207368,3.69812447481841
"T7436",0.123165,0.070868052,0.084312431,0.359010772,0.499885048999014,0.000288139433255304,3.41640954796667
"T7438",0.121777265,0.076371428,0.078393354,0.344673211,0.494110105694473,0.0147643119828171,3.59360355708825
"T7440",0.110353987,0.082145925,0.080323254,0.333593107,0.435475726342261,0.16245005932353,5.40133481836068
"T7442",0.114031338,0.082781076,0.080762148,0.334280756,0.449695172771214,0.126431529403725,4.96045393653195
"T7444",0.119245696,0.082993382,0.083759922,0.347536381,0.461283130243607,0.097201646542359,4.60266874762052
"T7446",0.121895299,0.077212153,0.082310908,0.363575238,0.486238008221606,0.0345030422328653,3.83521332900833
"T7448",0.119020384,0.087744174,0.078575273,0.348123635,0.465092771020059,0.0876113988601552,4.48528036823636
"T7450",0.120228744,0.077177906,0.086282063,0.356601534,0.475409207122913,0.0616790620929658,4.16785843215919
"T7269",0.121648195,0.075822108,0.088229354,0.352645135,0.480289373463498,0.0494273320798439,4.01789246896916
"T7468",0.123590183,0.077988707,0.081068646,0.344302934,0.490745933781993,0.0231985846831972,3.6968423509537
"T7277",0.126055782,0.087468042,0.077356214,0.36031382,0.488271906675346,0.029402206103313,3.77277710143691
"T7476",0.118637743,0.075313425,0.079863869,0.359009696,0.48629224911045,0.0343669998535172,3.83354811712137
"T7482",0.12390531,0.078490968,0.086273002,0.345857108,0.482112840278707,0.0448514934064852,3.96188241542427
"T7486",0.112036771,0.078944013,0.075484848,0.356604992,0.467806873433563,0.080783982095017,4.40171011895833
"T7488",0.114600489,0.072050221,0.081053322,0.350187913,0.481541153287744,0.0462859889042224,3.97944120090024
"T7293",0.125612344,0.082711533,0.081087922,0.344713374,0.486716117682622,0.0333039104973821,3.82053548795968
"T7295",0.125946908,0.0911995,0.082570928,0.354264784,0.469452481956785,0.0766462513195533,4.351062677291
