"","amiA","cmk","hemF","ihfA","ihfB","rpsA","uspB","pval","z","inv_cof_var"
"T6961",0.109582695,0.316004755,0.114500767,0.185222604,0.366792053,0.284123318,0.088601083,0.3041563176746,0.512483542693112,1.73909214263014
"T6964",0.124969187,0.302448379,0.133906378,0.170135863,0.341093791,0.268812619,0.066554351,0.253185058557109,0.664500362324102,1.84214583454087
"T6965",0,0.318543384,0.13139424,0.207495285,0.347357971,0.277996905,0.148643891,0.420245484507188,0.201265510938586,1.52811438872537
"T6968",0,0.318361342,0.126913159,0.213352647,0.344561687,0.282925613,0.125811622,0.455379843348772,0.112080363842956,1.46765490342554
"T6969",0,0.317105803,0.143968576,0.223211888,0.352868848,0.288790585,0.103161097,0.471920585802949,0.0704428687977666,1.43942843745462
"T6972",0.057706792,0.328732413,0.109428359,0.214177827,0.353914671,0.274791978,0.150470909,0.311101881352545,0.492729454492548,1.72570065263358
"T4103",0.223646753,0.328048863,0.048256457,0.066495861,0.323980283,0.295206894,0.074037135,0.315948813285211,0.479057636067126,1.71643239292855
"T4105",0.225556636,0.310704653,0.071446422,0.124389482,0.314612904,0.280889465,0.086380772,0.204691204090638,0.824980946325632,1.95093719526985
"T4107",0.23155544,0.338334954,0.109862257,0.208823538,0.337403252,0.305626618,0.079476369,0.171630324218053,0.94774232472644,2.03415833684459
"T4109",0.242621277,0.32087385,0.056425812,0.206545109,0.313666198,0.29263038,0.085238933,0.248527201382761,0.679131724716911,1.85206457850567
"T4111",0.242821596,0.340345546,0.035644523,0.086571612,0.348089035,0.303668586,0.044022574,0.42269888778861,0.194993832914116,1.52386275672526
"T4113",0.241893001,0.338562623,0.069401422,0.061141187,0.343867382,0.305799275,0.061173127,0.303344078419694,0.514806622947607,1.74066698150265
"T4115",0.237771165,0.326001046,0.075345487,0.198245953,0.350217092,0.290692124,0.077833853,0.247059127800208,0.683773416323895,1.85521122673822
"T4117",0.245847062,0.317077771,0.044223286,0.158708182,0.339198257,0.28403704,0.105265909,0.249652184374952,0.675584683475927,1.84966000448465
"T5049",0.11596659,0.098462025,0.123619917,0.200104659,0.39108635,0.269974068,0.093663027,0.438255970134759,0.155392444453271,1.4970165873633
"T5050",0.125572815,0.126362547,0.118522119,0.214762349,0.366914025,0.284953184,0.08621285,0.362535162438029,0.351690581349652,1.63008901823953
"T5051",0.187249796,0.059025158,0.090188035,0.217120129,0.346360652,0.278118679,0.081215245,0.45258645712793,0.119129304709384,1.47243344952399
"T5053",0.115526737,0.264023755,0.090609309,0.208030723,0.382400707,0.277603718,0.087812085,0.347661811470044,0.391640819328252,1.65717167610858
"T5054",0.089095072,0.290104499,0.123568775,0.223781649,0.341434205,0.296483357,0.059323051,0.363101056885164,0.350182000990267,1.62906633682864
"T5055",0.115155869,0.24274123,0.129305366,0.184664663,0.364970943,0.259687022,0.109088311,0.194106441345342,0.862862842114613,1.97661770369719
"T5056",0.086015602,0.270560811,0.088076155,0.190842381,0.351513868,0.250757417,0.112984487,0.315306976804291,0.480862883840497,1.71765618808694
"T6973",0.048001263,0.300012383,0.136693221,0.205441853,0.395514634,0.273844634,0.110611902,0.386038688003718,0.289658672497583,1.58803697926783
"T6976",0.045103915,0.308605972,0.118594092,0.22218456,0.353577089,0.286483711,0.134525364,0.340544819314024,0.410976674315458,1.6702796417108
"T6977",0.088895049,0.121736132,0.121602573,0.206894017,0.337252746,0.291170925,0.090653759,0.379859899589581,0.305848762509711,1.59901239996251
"T6979",0.053038161,0.314443528,0.118803772,0.244758347,0.318117764,0.295087824,0.102960139,0.351179765353557,0.382137293765175,1.65072914298744
"T4104",0.2104141,0.251428788,0.09054656,0.13539896,0.330149562,0.225317038,0.081290797,0.162941429884237,0.982440545521367,2.05768060079098
"T4106",0.180567059,0.318515329,0.046313251,0.069260983,0.378226382,0.258812677,0.045286786,0.454873052379914,0.113358796449804,1.46852156541936
"T4108",0.236290085,0.315304955,0.122135334,0.145239733,0.329928677,0.291897115,0.046556229,0.207493340569377,0.815149603457401,1.94427243158468
"T4110",0.223208797,0.263259111,0.065691424,0.066316509,0.329790804,0.270918172,0.066919122,0.261724597293758,0.638037615135775,1.82420647886643
"T4112",0.232629257,0.281440603,0.131119643,0.081542299,0.267412263,0.26366936,0.114808951,0.0115000633213129,2.27343254733178,2.93285673154238
"T4114",0.225868187,0.316116137,0.038421603,0.037671277,0.359853097,0.208534448,0.063460894,0.405297968211131,0.239657304554081,1.5541405618867
"T4118",0.220797932,0.095224108,0.117189569,0.073658972,0.34207943,0.24726397,0.124125123,0.187489128466391,0.887186950493405,1.99310725516233
"T4833",0.123012189,0.118752967,0.128059637,0.167905592,0.411895376,0.257113563,0.085722838,0.436032876982665,0.161035102072168,1.50084180026557
"T4835",0.113842122,0.103268237,0.122238489,0.170728544,0.37294278,0.258645607,0.076094883,0.436243766238419,0.160499605356159,1.50047878179351
"T4837",0.093627313,0.307409402,0.085108193,0.14576712,0.365126304,0.26152846,0.095168789,0.373116872052843,0.323609434797665,1.61105253377489
"T4839",0.142995906,0.304190593,0.080833487,0.084977746,0.399623994,0.244815332,0.092343608,0.348489521569965,0.389401661505714,1.65565372907519
"T4841",0.137052968,0.319082966,0.155116084,0.201824839,0.369934527,0.277875682,0.116039086,0.132989968823748,1.11236804612749,2.14575972684227
"T4843",0.121781252,0.317668709,0.116739161,0.177119608,0.410827101,0.25010949,0.105846989,0.303174618875352,0.51529164316093,1.74099578145884
"T4846",0.164470912,0.311510603,0.114318516,0.18507059,0.434214168,0.262171486,0.121061191,0.240698120764183,0.704058663093332,1.8689627943344
"T4848",0.123487817,0.309694801,0.130935376,0.081473247,0.429404006,0.226546276,0.083997963,0.356152580679426,0.368761959405546,1.64166187273638
"T4850",0.151959094,0.307664359,0.069505105,0.141226125,0.384388348,0.234131224,0.119971603,0.291509980225978,0.548978855765899,1.76383267304459
"T4852",0.139050906,0.288574719,0.113170047,0.130184723,0.39120123,0.251851999,0.118286054,0.213984648252962,0.792671401654588,1.92903423827872
"T4856",0.124996234,0.166124174,0.096797455,0.131942535,0.387958733,0.232715538,0.089504415,0.371552708120202,0.327743756369023,1.61385523088768
"T7010",0.13037461,0.096433177,0.095437084,0.254624901,0.214433408,0.115175104,0.207880303,0.032263481221814,1.84852132426241,2.64480524896371
"T2774",0.246493575,0.221563874,0.054479327,0.18320798,0.168957336,0.253106486,0.086466082,0.172021799197391,0.946205858942771,2.03311675163129
"T2770",0.283481418,0.249132304,0.045960016,0.044840711,0.202839629,0.288960985,0.055853109,0.324235707261516,0.455886754871562,1.70072462547344
"T2771",0.263454209,0.290202313,0.06277831,0.059305945,0.199997869,0.289598043,0.082662242,0.21421202070407,0.79189133228464,1.92850542160755
"T2772",0.257562573,0.240785369,0.028278838,0.057502114,0.213932093,0.286759352,0.056086788,0.357209776879805,0.365926992922146,1.63974002117241
"T2767",0.218505363,0.136559189,0.048230331,0.26668549,0.102841771,0.284418278,0.046319582,0.459625006452792,0.101378487580499,1.46039999662052
"T2773",0.246795323,0.218516217,0.050031259,0.12631117,0.12371365,0.240249856,0.076837464,0.256710604147176,0.653519832033972,1.83470202543947
"T2769",0.234232002,0.238847034,0.073391887,0.092503098,0.169253585,0.293372271,0.082779437,0.173056555648696,0.942155347321676,2.03037087010519
"T0413",0.108437801,0.203235597,0.063937269,0.269876754,0.330621091,0.260206575,0.078472386,0.372562202362617,0.325074874059102,1.61204596941266
"T0411",0.42282785,0.229551097,0.07536653,0.383057363,0.408948418,0.184495905,0.043563282,0.488544713750511,0.0287180913580393,1.41114280189301
"T5994",0.075332189,0.306730558,0.14013999,0.077042788,0.359433016,0.28407153,0.074374937,0.351959087772914,0.380036696094651,1.6493051272391
"T5996",0.05863802,0.342330853,0.146305831,0.082832789,0.35843574,0.310041116,0.056965614,0.436193176893487,0.16062805923054,1.5005658619339
"T5998",0.07053105,0.315658754,0.138328764,0.13393962,0.349089145,0.281362836,0.080170855,0.346418395458742,0.395008261542954,1.65945449818947
"T6000",0.074816428,0.281308606,0.136456812,0.096390884,0.35638354,0.281565619,0.084076322,0.324187537571156,0.456020724809734,1.70081544500754
"T6002",0.082626118,0.215955443,0.131509751,0.083863408,0.353638725,0.287376988,0.073625332,0.341828864877662,0.407476936913623,1.66790713542595
"T6004",0.088716321,0.264474522,0.129843897,0.105881642,0.352076742,0.284180864,0.081085724,0.301761400947757,0.519341236659596,1.74374104058075
"T6006",0.084744492,0.242290917,0.134821006,0.09472903,0.34790397,0.285187724,0.080096356,0.299323417256486,0.526347429569536,1.74849060742053
"T6008",0.090136074,0.256062996,0.132622419,0.091393502,0.347197682,0.285050671,0.076075115,0.299034147828039,0.527180432538045,1.74905530829696
"T6010",0.081533122,0.173843055,0.132541491,0.076950529,0.36787568,0.282590358,0.077970958,0.381850133866259,0.300625259420351,1.59547133602385
"T6012",0.078176222,0.278657173,0.139125202,0.099462612,0.356503704,0.286062427,0.073968686,0.336219363521895,0.422803372270151,1.67829707616511
"T6014",0.054674745,0.327713538,0.143322303,0.06920512,0.34375654,0.311803788,0.054279361,0.439279495611864,0.152796204164469,1.49525657062635
"T6016",0.08526836,0.207204736,0.127358462,0.095731093,0.364853552,0.281163478,0.083429947,0.338199266303946,0.417382664688306,1.67462232536823
"T6018",0.081601571,0.274435711,0.129258952,0.113751433,0.348423374,0.286507054,0.077789471,0.324851346837902,0.454175252358794,1.69956438114598
"T6020",0.076113815,0.308857896,0.144285653,0.064552791,0.358276775,0.29072897,0.070781515,0.353233577408275,0.376605022391009,1.64697876200233
"T6022",0.07773284,0.325059889,0.136091975,0.090142089,0.351072902,0.283875641,0.076886159,0.348494935057641,0.389387023137123,1.65564380558166
"T6024",0.076260436,0.316044095,0.139702731,0.083103156,0.358713472,0.285731102,0.074636702,0.353744972300707,0.375229295482013,1.64604614324753
"T6026",0.068947587,0.256935825,0.144516499,0.095859668,0.351499684,0.289719653,0.068611281,0.355582987757338,0.370290601938561,1.6426981544914
"T6028",0.091180131,0.225954631,0.135247611,0.070849389,0.351864727,0.283525383,0.077936295,0.297271319356616,0.532264755754542,1.75250202083573
"T5993",0.099978394,0.32588051,0.150056579,0.091719872,0.061011157,0.293838055,0.085516215,0.437847917535262,0.156427788067877,1.49771845694681
