"","adeD","adiY","chiA","gspA","gspB","hchA","hns","mdtI","mdtJ","rcsB","yjjP","pval","z","inv_cof_var"
"T5544",0.046151554,0.095199159,0.175174648,0.11745884,0.109949191,0.116728241,0.28306459,0.152760537,0.26202909,0.11786486,0.056860693,0.276360085303632,0.593688956706377,2.02758119052366
"T5546",0.047707327,0.064380408,0.161135492,0.0451655,0.141178977,0.091842219,0.276057928,0.257530238,0.258616387,0.064257313,0.072237324,0.477750389144405,0.0558004476994516,1.47013617250867
"T5548",0.068819585,0.106137595,0.127167712,0.064393024,0.107724459,0.260154435,0.273083174,0.283610859,0.266427306,0.119996403,0.081912635,0.383278527510071,0.296881402551733,1.71998233016096
"T5550",0.054948471,0.098499794,0.125390455,0.060811493,0.105791894,0.207896004,0.282798964,0.216492812,0.258818314,0.171872404,0.055325419,0.341983510395182,0.407055779361541,1.83416241848247
"T5552",0.046746176,0.08874203,0.176841168,0.05449952,0.117649727,0.046464977,0.282054897,0.200346238,0.264505089,0.123751501,0.103399645,0.392517548152277,0.272763399110317,1.69498744620684
"T5554",0.052102379,0.125727667,0.131969804,0.126097442,0.10995878,0.266278351,0.242449085,0.059648499,0.258700032,0.097557275,0.07447293,0.377782005015116,0.311311257408872,1.7349368245703
"T5556",0.084655959,0.091894371,0.141515112,0.082960978,0.146498347,0.250666702,0.222337084,0.220469162,0.144252474,0.21989919,0.115191821,0.156713916355624,1.00805547162984,2.45701321130206
"T5558",0.095654442,0.098052363,0.132543937,0.096589439,0.179992788,0.229305353,0.204140181,0.194110425,0.181158718,0.198912836,0.120774611,0.0535207295294053,1.61163468167814,3.08253730781054
"T5560",0.054078747,0.041355665,0.085954277,0.084175497,0.171059181,0.242599538,0.238279653,0.078756959,0.236575918,0.088546386,0.142189265,0.394434519707267,0.267779515400416,1.68982235883663
"T5562",0.057458795,0.07628778,0.119472488,0.075538159,0.137607607,0.290381357,0.241018736,0.094957519,0.270057235,0.072419944,0.09827627,0.445194424985273,0.137812190116929,1.55512969154434
"T5564",0.069271359,0.075967432,0.147558291,0.145793363,0.073131013,0.261755295,0.231201457,0.228514097,0.157107917,0.225829471,0.096737761,0.256262832875744,0.654910055420251,2.09102816123226
"T5566",0.099799911,0.093138906,0.151622114,0.109773647,0.107694584,0.244016714,0.226920758,0.130166651,0.106713601,0.217885078,0.105953504,0.12769556784961,1.13735206937525,2.59101076479607
"T5568",0.114886314,0.114468751,0.117846453,0.108428092,0.109079313,0.234962562,0.214886768,0.200327078,0.111437912,0.199174016,0.095149883,0.0905113828560221,1.33761256690486,2.79855231808039
"T5570",0.100369146,0.08909272,0.139952245,0.089842839,0.089059202,0.22944222,0.206857878,0.214238029,0.165425956,0.195328174,0.102856472,0.137223143193098,1.09288046500767,2.54492226525997
"T5572",0.090468419,0.095848379,0.124290876,0.101564831,0.088218924,0.238867127,0.197030975,0.229090572,0.141990441,0.201399798,0.112263457,0.163975707577163,0.978248538700288,2.42612256019936
"T5574",0.102794322,0.091978275,0.110552788,0.166018969,0.110347809,0.24584135,0.219646166,0.262299434,0.166707592,0.198488957,0.096128268,0.15811455289592,1.00223707437155,2.45098326920411
"T5576",0.0802158,0.069979694,0.142143111,0.075226348,0.065316302,0.246276311,0.154341466,0.236079811,0.207624004,0.215653445,0.107122765,0.305144505595593,0.509660955794049,1.94049810602198
"T5578",0.102645009,0.10631826,0.110694202,0.115403051,0.114704438,0.219224071,0.191503647,0.202506474,0.15948424,0.17970233,0.101126146,0.0483790651677438,1.66077755626227,3.13346691524618
"T8388",0.231910642,0.04656396,0.063814861,0.378090186,0.382840882,0.283430189,0.34169593,0.046398053,0.303130209,0.267024692,0.046522266,0.481417539492799,0.0465961770616154,1.46059725370745
"T8389",0.255309683,0.04745861,0.321776313,0.302410518,0.210321062,0.272861695,0.31549893,0.048477352,0.293175466,0.259058258,0.047622315,0.346836135879769,0.393876431399086,1.82050389680124
"T8394",0.238270571,0.049134714,0.333085698,0.353001876,0.354862902,0.259386922,0.320841722,0.050453449,0.288063496,0.243454728,0.049302863,0.367974620526343,0.337222415174998,1.76179005821605
"T8397",0.229137894,0.04968986,0.384526574,0.447048843,0.299677979,0.274797212,0.316098783,0.052403823,0.292652393,0.261947416,0.050148891,0.405328212229844,0.239579286096558,1.66059682776638
"T8499",0.093511882,0.091662441,0.052420912,0.413742761,0.537104724,0.265386643,0.425726877,0.298690838,0.535967709,0.204053057,0.110766682,0.49718172418901,0.00706442859283589,1.41962821297069
"T8500",0.125184395,0.043553711,0.239274866,0.406948163,0.423514784,0.240322657,0.383968114,0.054961837,0.412760837,0.196295009,0.046460115,0.494994491285624,0.0125472788930761,1.42531040832012
"T8139",0.062980522,0.227521304,0.053583047,0.062477255,0.064540008,0.10402908,0.621235971,0.054750658,0.069392101,0.149294895,0.080698531,0.400556493488655,0.251906950633149,1.6733727005813
"T8140",0.046476442,0.046764239,0.02743603,0.046279444,0.051173706,0.107726054,0.584177491,0.035860575,0.056212324,0.151152386,0.093267293,0.388904462818842,0.28217552326106,1.70474177564298
