"","aroF","tyrA","tyrB","tyrR","pval","z","inv_cof_var"
"T6030",0.077262579,0.052721277,0.066956515,0.343987592,0.444371763337417,0.139894272496582,5.32719215905089
"T6041",0.078666705,0.052068373,0.063895145,0.317259952,0.461000076403624,0.0979145417757549,4.86832097532203
"T6054",0.066390881,0.04763681,0.070119526,0.381460778,0.452799377988247,0.118591807800083,5.09433961274394
"T6065",0.068634074,0.048559468,0.072702655,0.391158886,0.459953572629949,0.100550685779038,4.89713608438766
"T6047",0.078363203,0.05643378,0.057288692,0.093428008,0.450614510960614,0.12410893731182,5.15464613940253
"T6060",0.079504423,0.052320543,0.082456418,0.331193539,0.481700701961814,0.045885634753121,4.29960446038378
"T6071",0.068328324,0.04894484,0.070678577,0.395367814,0.447069104528834,0.133069761756629,5.25259493634744
"T6038",0.076741684,0.049929661,0.068197992,0.335708007,0.465574150905724,0.0864001825615655,4.74246005263934
"T6049",0.076623997,0.054973591,0.055659974,0.261534233,0.453607453030583,0.116552215484656,5.07204527869191
"T6062",0.067051201,0.049829814,0.073991275,0.379379541,0.452069183357202,0.120435253073937,5.11448990671744
"T6073",0.06663894,0.049244615,0.071634633,0.388626871,0.444696887983369,0.139071339386002,5.31819685860238
"T6032",0.078304102,0.04864989,0.074764793,0.343518683,0.48709882330655,0.0323440928010143,4.15158485000561
"T6043",0.076895176,0.053611015,0.064392029,0.268121097,0.435423313115502,0.162583186294106,5.57519967489298
"T6056",0.065346559,0.049770176,0.070642453,0.369173811,0.430683077969246,0.174635368036277,5.70693941708721
