"","fnr","ompX","rimM","rplS","rpsP","trmD","ychO","ysgA","pval","z","inv_cof_var"
"T5758",0.224770169,0.121934672,0.238535116,0.251307823,0.191411804,0.255197241,0.223178705,0.085126631,0.00451926819507298,2.61059310769508,2.91552849233156
"T5760",0.180362754,0.213134648,0.085921789,0.303742669,0.211267073,0.280553192,0.085784095,0.245131136,0.0648808934010252,1.51504192665179,2.33718963289727
"T5767",0.145859247,0.296356446,0.385799329,0.248588578,0.287894014,0.144384889,0.078314131,0.145895562,0.14173295228326,1.07256595985194,2.10360762377341
"T5769",0.073645712,0.294718451,0.353391059,0.257512457,0.285895272,0.132048092,0.061841485,0.139789994,0.169325077614106,0.956835768829908,2.04251393154257
"T5771",0.082179195,0.299613475,0.359385813,0.258599598,0.292988415,0.138095506,0.057514934,0.142727941,0.177912224650511,0.923350748442266,2.024837269024
"T8378",0.292152326,0.300067099,0.304084888,0.297004818,0.29097643,0.301442753,0.034728707,0.100584988,0.173476178688245,0.940517149060926,2.03389937102907
"T8379",0.240233136,0.252707413,0.253472355,0.248280066,0.233818498,0.255162082,0.065822046,0.144043502,0.00819469114928223,2.40012704928472,2.80442396131845
"T2411",0.223232133,0.31615869,0.179262519,0.258393694,0.127208512,0.096881458,0.062435187,0.048184917,0.499932730746142,0.00016861901453306,1.53749162144329
"T2819",0.090698172,0.234047048,0.085264259,0.240850738,0.122142536,0.137927267,0.022186705,0.085490807,0.416694443539338,0.210357209765219,1.64844967793965
"T2414",0.178252294,0.314026659,0.112623289,0.244056639,0.139500376,0.128753468,0.050257415,0.067675382,0.463904208725892,0.0906025351622991,1.5852314704107
"T2426",0.118286267,0.357496336,0.297518028,0.479531687,0.353692477,0.24249876,0.023515682,0.065462739,0.466148119880043,0.0849561652076335,1.58225076515838
"T2407",0.100652397,0.311003173,0.390579465,0.220025522,0.351692616,0.230292132,0.04382505,0.036400034,0.449366351217369,0.127262420598276,1.60458413662739
"T2419",0.045932624,0.197494072,0.199101435,0.257411491,0.199104381,0.198873629,0.041648858,0.062286406,0.16456566070742,0.975865095011048,2.05255946751554
"T2420",0.058139825,0.18450329,0.189578787,0.244995176,0.188803073,0.189951887,0.049610475,0.068831527,0.0975569066097718,1.29559859563425,2.22134602105407
"T4080",0.349306437,0.154587297,0.373552745,0.155441291,0.348504788,0.411619165,0.08864245,0.103731886,0.386002591661965,0.289753030378556,1.69036254256149
"T4082",0.24822848,0.122837059,0.312912655,0.155068684,0.245349345,0.364094326,0.090732055,0.110640957,0.27136820870353,0.608680224433925,1.85872344878306
"T5662",0.20228643,0.088627119,0.380463618,0.150527326,0.378781648,0.231018477,0.097637543,0.088802172,0.49605131357934,0.00989805064829388,1.54262776523226
"T5668",0.159688644,0.089773855,0.306847633,0.171154938,0.13699086,0.0791886,0.072523709,0.09867502,0.418185882797304,0.206536616286645,1.64643279574099
"T2669",0.386692288,0.480934563,0.654773404,0.492426676,0.651509874,0.610309595,0.049054378,0.040263472,0.467978692316065,0.0803518959186714,1.57982018236573
"T2670",0.317472525,0.333702423,0.343908745,0.34491736,0.302811129,0.349962647,0.051814586,0.058328541,0.273779406843174,0.601422203538566,1.85489195683727
"T2671",0.336079619,0.248658386,0.34098864,0.332819694,0.289958573,0.351839922,0.044976276,0.056749238,0.312785726698434,0.487969488011175,1.79500053849627
