"","csgD","dgcC","iraP","nlpA","wrbA","yccJ","yccT","pval","z","inv_cof_var"
"T7256",0.076563668,0.073673171,0.075910859,0.088719319,0.062936518,0.125527043,0.088336004,0.238810370091579,0.710134489940928,3.95094416975867
"T7257",0.072619842,0.070796585,0.07505808,0.096113526,0.063389903,0.100923681,0.086016659,0.0806312805473462,1.40083787066541,5.54831429376698
"T7258",0.078596332,0.078166076,0.077131277,0.088101036,0.062794962,0.124398263,0.087175371,0.212506984421238,0.797752779283951,4.15357650314389
"T7448",0.076487546,0.109924143,0.078503167,0.078626268,0.076755526,0.078610576,0.08102254,0.0334556416003057,1.83226947052165,6.54607392169961
"T7450",0.077090688,0.085528926,0.08587908,0.085596021,0.074187882,0.087557484,0.085591946,6.58943403713305e-11,6.42509327630626,17.1677673098212
"T7452",0.078671098,0.061475867,0.078615005,0.077903028,0.069455868,0.102843899,0.080178695,0.0750327831701425,1.43929991706083,5.63726437789112
"T7259",0.081124187,0.060292953,0.083659665,0.081657136,0.078635538,0.080893364,0.081824051,0.00217912518923555,2.85099610177558,8.90205411625112
"T7260",0.081736075,0.070955786,0.088605014,0.083632952,0.076250093,0.089348701,0.087543753,8.60515064756067e-05,3.75679551387912,10.9968707330756
"T7261",0.084108469,0.060884744,0.088720648,0.090370067,0.076028004,0.093862764,0.089134638,0.0300143781702328,1.88058233681657,6.65780571768961
"T7262",0.079980582,0.077261857,0.084434692,0.093179392,0.065671563,0.108767068,0.092903946,0.0623380536067515,1.5354386858185,5.85960178242411
"T7263",0.083976905,0.058690363,0.088438316,0.091217706,0.072932274,0.099817737,0.088427422,0.0767417696163292,1.42733436654388,5.60959198848854
"T7264",0.082201317,0.070165948,0.084585159,0.092959152,0.06261069,0.121472211,0.091774604,0.203344607172878,0.829733963530891,4.22753848113925
"T7265",0.083387731,0.054452603,0.087362611,0.090171899,0.069644479,0.121331703,0.08755907,0.261717897301185,0.638058200853429,3.78425537967776
"T7266",0.087309576,0.063202503,0.090540958,0.091391184,0.065056951,0.116154825,0.092786933,0.186598844818036,0.890499587817388,4.36806941744385
"T7267",0.081982296,0.05672484,0.087268278,0.092479803,0.075259442,0.120522452,0.088786229,0.215561775702827,0.787270471696675,4.12933436760806
"T7268",0.084526208,0.06750485,0.085580923,0.087724652,0.069626311,0.122313287,0.089140554,0.180595873426622,0.913096583866153,4.42032884947786
"T7269",0.081974727,0.057246602,0.08517308,0.085886737,0.076072032,0.115542017,0.086769407,0.175047357080388,0.93440559224606,4.46960958895043
"T7270",0.086762354,0.077023507,0.088414507,0.088058983,0.073861807,0.114721677,0.088004336,0.0486203372109036,1.65838057705682,6.14392600832725
"T7454",0.081757325,0.06869905,0.080869971,0.078239265,0.080332584,0.09604843,0.082679252,0.00143190572863354,2.98199022159241,9.20500050287036
"T7456",0.079055644,0.07861014,0.077394896,0.074522939,0.071924846,0.090610421,0.07812972,9.41478936276478e-06,4.27833583129555,12.2030222371163
"T7458",0.077252941,0.07579257,0.074729516,0.074397068,0.068925224,0.108067772,0.076482789,0.0748647585241577,1.44048752461616,5.64001092421024
"T7460",0.077089019,0.078188222,0.077356636,0.077511607,0.065527854,0.100044695,0.079837073,0.0187567302018125,2.08013163798264,7.11929772836295
"T7462",0.073918007,0.070486944,0.081510413,0.081639084,0.065303139,0.101868802,0.081366996,0.038795952415814,1.76483259486295,6.39011457150695
"T7464",0.075598909,0.076363479,0.083245937,0.081611445,0.066776614,0.116516871,0.079609125,0.126283902867552,1.14413463539798,4.9546440002723
"T7271",0.08457743,0.064239547,0.084816671,0.083769717,0.074030014,0.119762582,0.085025854,0.166879201153283,0.966571270686065,4.54399824143484
"T7272",0.084001316,0.073340959,0.082568661,0.087415696,0.069136126,0.118622493,0.088574145,0.126167978427888,1.14469395394631,4.9559375204198
"T7273",0.083193907,0.062988884,0.083002077,0.098177175,0.065247767,0.143000544,0.094428613,0.363585962036972,0.348889958458204,3.11550418472976
"T7274",0.081106394,0.072208777,0.078547258,0.088091452,0.063387486,0.130473224,0.088359669,0.272357818495846,0.605697511207033,3.70941573030579
"T7275",0.080655995,0.066197789,0.077170141,0.08625735,0.070364366,0.106914285,0.086159394,0.0753360401647222,1.4371616033701,5.63231916044951
"T7276",0.0792515,0.079479566,0.070243226,0.088424657,0.064111196,0.117506892,0.088553626,0.17069383314088,0.951426986781,4.50897448545717
"T7466",0.078018616,0.100522959,0.076408117,0.076164197,0.071834164,0.104220385,0.078516362,0.052684053565103,1.61936800265465,6.0537027336919
"T7468",0.086144701,0.074034536,0.083504773,0.08103818,0.080930172,0.099303875,0.089102016,0.000627878771394415,3.22590335087744,9.76909148091742
