"","borD","envY","mgrB","mgtA","ompT","pagP","phoP","rstA","ybjG","pval","z","inv_cof_var"
"T4109",0.244365354,0.119372998,0.087079568,0.09165461,0.269187896,0.065255007,0.213399275,0.054199149,0.125349643,0.470659419456939,0.0736123562959367,1.63254079986755
"T4115",0.243422407,0.152387741,0.078883787,0.082283611,0.273489745,0.106960117,0.208671641,0.052986134,0.118771632,0.425678020774189,0.187388496203705,1.73243285460561
"T5049",0.107156376,0.061773775,0.111785424,0.096701341,0.160451709,0.118710766,0.197744629,0.067577667,0.125084272,0.0213985581486491,2.02568459529903,3.34640195836025
"T5050",0.126695958,0.132196371,0.133095461,0.088324035,0.203906525,0.115081726,0.206188063,0.050613764,0.055169136,0.205151193217211,0.823361611782198,2.29079826693903
"T5051",0.045002367,0.090229104,0.112893666,0.091936954,0.238253492,0.11690165,0.193692074,0.047622671,0.114225709,0.403508533043269,0.244276004748785,1.78237838907447
"T5052",0.088173335,0.095436219,0.129146151,0.103212071,0.207356916,0.123588397,0.198188996,0.077176073,0.127793818,0.0598573008877867,1.55597262619397,2.93400886990601
"T5053",0.085434714,0.09852255,0.149698586,0.100723101,0.186771931,0.125050498,0.206545772,0.05068184,0.125437171,0.0839441745885282,1.37902077315716,2.77865042477081
"T5054",0.11423548,0.091718521,0.153596369,0.097694955,0.18645394,0.124602576,0.217014794,0.063086522,0.04549918,0.176904368295256,0.927226904610454,2.38198889376989
"T5055",0.086757283,0.102937652,0.090982295,0.106774421,0.148757676,0.114236902,0.146468204,0.08508972,0.131886356,0.000112630594665965,3.68885992490671,4.8066202536799
"T5056",0.107445046,0.100114477,0.107740041,0.116673925,0.125674372,0.129578413,0.17332849,0.088068401,0.115730678,1.60138581237405e-14,7.58984954244758,8.23157269734612
"T6973",0.169060569,0.102141971,0.059800362,0.110157554,0.237745503,0.073243216,0.053801692,0.056773738,0.122770274,0.354178271302553,0.374064213537353,1.89632856234607
"T6976",0.220578621,0.115187524,0.054766217,0.125597534,0.212681699,0.064261799,0.04319393,0.044403031,0.117286158,0.409185291311031,0.229641208628336,1.76952947491436
"T4104",0.236808988,0.085229864,0.331464047,0.100494354,0.239402475,0.093162137,0.200326725,0.082285676,0.109209775,0.452312028426622,0.119822122657109,1.67311159541858
"T4106",0.26199563,0.155386779,0.063767518,0.1133459,0.262242214,0.08052777,0.219963527,0.051745637,0.155149239,0.428584459226933,0.179979173358413,1.72592769030813
"T4108",0.265783876,0.14290212,0.080992626,0.115458347,0.274963918,0.114704715,0.233054702,0.046987767,0.147945085,0.388167595243032,0.284098116310112,1.81734101437618
