"","bdcA","dkgB","grxD","mepH","mhpT","nsrR","pgpC","rfe","rffC","rffG","rffH","rffM","tadA","tehA","tehB","tsgA","wecB","wecC","wecE","wzxE","wzyE","wzzE","ydbD","yeaE","pval","z","inv_cof_var"
"T8317",0.068187658,0.065694678,0.359304005,0.111193909,0.069458228,0.139268883,0.075606053,0.140360812,0.123890704,0.142380981,0.124413631,0.072015954,0.067071869,0.072553245,0.096190692,0.084960692,0.124549782,0.150624,0.073885943,0.065729168,0.082594436,0.14063103,0.080810937,0.065663306,0.450323620858737,0.124843761503199,1.7093847529835
"T2213",0.052229989,0.056563498,0.080788956,0.071842068,0.037651668,0.181972579,0.063684257,0.197951168,0.081021442,0.173351959,0.086471043,0.049638827,0.067630281,0.046658669,0.048802569,0.079710431,0.098144407,0.178522722,0.043409012,0.054537245,0.077236352,0.156476566,0.049801366,0.03186106,0.448822806465214,0.128636083579769,1.71304878077717
"T2087",0.043277872,0.04042888,0.061470297,0.040271479,0.045385008,0.677438366,0.127905635,0.091039307,0.087200357,0.066026832,0.095714931,0.046624664,0.04966325,0.04484851,0.044682186,0.047815063,0.106486978,0.070835866,0.120967839,0.040418243,0.04763408,0.084089343,0.043378788,0.039508604,0.225853464685565,0.752572364718033,2.31587729307447
"T2088",0.047674325,0.040493199,0.112107331,0.040323103,0.052646744,0.443503092,0.069647894,0.062789056,0.049321931,0.078202971,0.080104456,0.052439078,0.052162417,0.050444782,0.047748684,0.041024549,0.035110757,0.157833667,0.178482907,0.034686583,0.040706654,0.03871732,0.047882457,0.037918148,0.468670055107047,0.0786134234517631,1.66471838759807
"T6047",0.139041601,0.073613905,0.379579908,0.160733399,0.055932708,0.068747683,0.105417411,0.129921327,0.141344531,0.07847431,0.057610073,0.111428802,0.058629617,0.064934349,0.092314016,0.057411652,0.099736305,0.166034381,0.122862969,0.119717997,0.068078293,0.072493885,0.067264499,0.082895956,0.496823450433198,0.0079625130984783,1.59645759804593
"T6049",0.142784071,0.071450898,0.369048826,0.165721318,0.054931342,0.064684023,0.105778324,0.133690202,0.14524728,0.07635257,0.056743381,0.113106373,0.057504897,0.062658515,0.0927879,0.056561744,0.099284342,0.171090137,0.126618595,0.123063952,0.065417865,0.070309361,0.06455747,0.079808672,0.490966061916098,0.0226466602868518,1.61064498043019
"T6035",0.074835942,0.086292065,0.335705127,0.074096752,0.052356829,0.074137509,0.086331204,0.158936645,0.117223218,0.078043524,0.051919786,0.10646258,0.052565686,0.07092732,0.131675562,0.052246116,0.132089644,0.160480252,0.123460718,0.107917595,0.075165896,0.069007749,0.054591705,0.112526468,0.458150212771307,0.10509500152918,1.69030409370025
"T6072",0.074835942,0.099006352,0.378672506,0.074096752,0.054756259,0.097605571,0.086331204,0.158936645,0.117223218,0.090112677,0.055470693,0.10646258,0.059724013,0.062473796,0.122579297,0.060631451,0.132089644,0.160480252,0.123460718,0.107917595,0.068946301,0.110102641,0.060618561,0.108572697,0.493594708304406,0.0160563751528969,1.60427764468932
"T6190",0.074835942,0.052289206,0.120856537,0.074096752,0.048425101,0.076484862,0.086331204,0.158936645,0.117223218,0.057589332,0.044362028,0.10646258,0.044518195,0.076006317,0.144363553,0.0523526,0.132089644,0.160480252,0.123460718,0.107917595,0.06910168,0.080494462,0.045002849,0.135855282,0.20754128024112,0.814982092614377,2.37617569943096
"T6192",0.074835942,0.054862065,0.248086031,0.074096752,0.050463117,0.078986009,0.086331204,0.158936645,0.117223218,0.060354253,0.04665252,0.10646258,0.047013075,0.075988846,0.147599169,0.05119727,0.132089644,0.160480252,0.123460718,0.107917595,0.069653013,0.074553874,0.047180605,0.132650276,0.350876653648249,0.382954760892254,1.95876385542231
