"","clpC","ctsR","clpE","clpP","clpX","disA","lonA","mcsA","mcsB","radA","ysxC","pval","z","inv_cof_var"
"GSM672766",12.47040149,12.33152714,9.372447955,13.42404535,13.98971487,11.8064539,12.40042639,12.00707993,12.18422007,11.3281881,12.59782974,0.375634676020316,0.316966064664375,10.3145427464646
"GSM672767",12.62092416,13.15688309,9.530714498,13.74295651,14.15506134,11.88133755,12.00166803,12.45830409,12.67714424,11.56050372,12.37705167,0.415991571329311,0.212158806692982,10.1250746352835
"GSM672769",12.37832454,12.95401859,8.94377881,12.988971,13.96540669,12.23010929,12.21330186,12.31454387,12.25148216,11.80381487,12.08684164,0.46206741838186,0.0952266068995641,9.91368733768671
"GSM672777",13.03748513,13.03570706,9.529263569,13.53887881,13.63389182,12.13522082,12.06917695,12.69864721,12.84824535,11.88637695,12.12968401,0.238827878440784,0.710078018115777,11.0252013472598
"GSM672784",12.48208364,12.76159257,9.247679926,13.49977695,14.18383309,11.86726952,12.22038662,12.32160558,12.04352379,11.63374164,12.76934647,0.471687670325578,0.0710281637627038,9.86994195780172
"GSM672788",12.61107732,13.35817584,9.666511896,13.46775725,14.15506134,11.99250855,12.00236227,12.54013457,12.47610223,11.68098401,11.96838401,0.325013863001547,0.453723673027863,10.5617699542724
"GSM672801",12.52544535,12.93810186,9.071826022,13.58176394,13.99217212,12.31027584,12.32160558,12.43328327,12.5077974,12.01920743,12.34492491,0.455981212021006,0.110563586647475,9.94141317118626
"GSM672802",12.4661171,12.78829182,9.098998885,13.49333755,14.11328476,12.28882454,12.46085929,12.34492491,12.37832454,11.96003271,12.69099182,0.454957035719583,0.113146927042348,9.94608327356874
"GSM672810",12.75065836,12.90368476,9.192094796,13.46775725,14.16357621,12.69711524,12.68502305,12.4776539,12.46005688,12.233029,12.68944535,0.398715720726159,0.256672708342767,10.2055458262118
"GSM672811",12.41861375,12.86639294,8.994675465,13.41992007,14.05925799,12.41256617,12.34492491,12.39153123,12.37832454,12.09768922,12.5312223,0.473527552666442,0.0664053570213431,9.86158495582882
"GSM672813",12.4776539,12.66638996,9.144256877,13.30210743,14.47804424,12.47473234,12.61667063,12.52103866,12.47040149,12.41567323,12.39445725,0.467485010325829,0.0815934366949665,9.88904161125448
"GSM672814",12.57407212,12.5327658,9.239005576,14.00300297,14.07618625,12.37289182,12.65911338,11.92684275,12.2903119,12.14299442,13.01324461,0.489571961780342,0.0261421928029299,9.78879814867166
