"","appA/1","tnrA","codY","scoC","appA/2","appB","appC","appD","appF","oppA","oppB","oppC","oppD","oppF","pval","z","inv_cof_var"
"GSM672698",16.32825874,11.30368922,13.69896357,13.68413234,15.98922119,14.58155874,14.35125911,14.32645576,14.62074498,15.15316729,13.2291658,13.20315836,13.88486654,13.40928959,0.0198913918674885,2.05599722446335,13.8459390320121
"GSM672699",16.24893309,11.1661171,13.48916357,13.63642639,16.19034349,14.23481264,14.16637026,14.18664647,14.41869665,14.94641301,12.90826059,12.89381004,13.66527955,13.43237621,0.0653772208305498,1.51113349768311,12.585619858206
"GSM672700",16.34839145,10.94614238,13.63389182,13.73114758,16.10869665,14.41200297,14.13993457,14.34949888,14.56330743,15.23706097,12.79829665,13.08473941,13.72260762,13.37838364,0.0723700114879799,1.45836478071733,12.4635610341361
"GSM672704",14.07896877,10.0326223,13.0917539,13.13574721,13.63843383,12.08414498,11.88133755,12.07040112,12.22743866,12.92673643,10.76958048,10.83819963,11.43575836,10.95534349,0.208826084276206,0.810501212331408,10.9649938931883
"GSM672705",14.02572788,10.11346208,12.97208327,13.31550074,13.56203011,12.19250186,12.01517881,11.99510037,12.21777212,12.89724424,10.82892454,10.8252368,11.32135353,11.08095762,0.167740967481697,0.96313070412632,11.3180397384937
"GSM672706",13.85909405,9.753242379,13.29444201,13.27297993,13.34507323,11.54997881,11.53860669,11.56554647,11.67702007,12.61945911,10.25501375,10.65251152,10.80278067,10.68536877,0.325892581247667,0.451283601070807,10.134091007221
"GSM672710",13.46987881,13.46152045,12.72426729,11.99510037,12.95488401,11.45388848,11.22259814,9.571112639,10.09368364,12.44072714,11.03873829,11.07026989,11.67069814,11.47787249,0.339101329112776,0.414917008541453,10.0499717832793
"GSM672711",13.50188959,13.35045167,12.79829665,12.25010112,12.83102602,11.26294796,11.22378216,10.1611948,10.31833067,12.66638996,11.07273717,11.4235684,11.51478885,11.53860669,0.171658756194894,0.94763065922216,11.2821867300672
"GSM672712",13.75962305,12.79327175,12.86480892,12.39912119,13.07116617,11.29289665,11.33772937,10.10459219,10.2696368,12.47327881,11.06334126,11.15677881,11.48383494,11.5763197,0.274536382096996,0.599150146283561,10.4761197254794
"GSM672719",13.34118773,9.743322305,13.30585762,13.08807955,12.74603086,11.08095762,11.08671896,11.02258996,11.13001301,12.58323271,10.1897539,10.33848885,10.85080967,10.83472677,0.198059189204322,0.848574002050671,11.0530597058402
"GSM672720",13.24083643,9.481560223,13.43237621,12.92828178,12.62165204,10.98844647,11.07504796,11.01436617,11.0609684,12.62165204,10.09834833,10.35867472,10.81609888,10.79800781,0.187402182173524,0.887510037873698,11.1431222849547
"GSM672721",13.40092937,9.500806691,13.30973011,12.83418104,12.85683234,10.97578959,11.03873829,10.88470892,11.17175985,12.68798067,10.19560706,10.43198662,10.89925799,10.87831654,0.241214912375445,0.702399872573991,10.7149456985406
"GSM672728",15.89411301,10.71478104,14.08209294,13.24606989,15.48368625,12.81725688,12.92992751,13.28644796,13.39100595,15.80265167,12.08541747,12.59489368,13.45520892,13.35250967,0.312053475578047,0.490038082232797,10.2237336339526
"GSM672729",14.98879926,11.12277175,14.06484089,12.75065836,14.52939071,12.62309201,12.66046617,12.33457361,12.7521803,14.83115242,11.98454572,12.24941227,13.15779442,12.9836684,0.0872329456699773,1.3579930441307,12.2313921120537
"GSM672730",15.63961115,11.08324498,13.95159331,13.52764833,15.18381933,13.03040297,13.05679517,13.51256134,13.79624275,15.75899182,12.63150967,12.84992788,13.39100595,13.16149219,0.102121163277989,1.26955741522122,12.0268324886395
"GSM672734",15.4060026,10.34576506,13.49133829,12.82640149,15.10605167,12.76159257,12.66638996,12.97704498,13.30585762,15.57326431,12.1703171,12.5312223,13.29824572,13.15597175,0.193654681790486,0.864507133038092,11.0899144816222
"GSM672735",14.97813903,10.66206617,13.72863755,12.71816097,14.39777584,12.22743866,12.24164052,12.08006543,12.55874387,15.28264684,12.07040112,12.19816729,13.12605204,12.63599665,0.241381742493022,0.701864796205586,10.7137080184136
"GSM672736",14.89745725,10.52824498,13.20690632,12.79503234,14.23481264,11.72477063,11.68098401,11.96296022,12.47978532,15.85358848,12.13241078,12.37705167,13.00465167,12.78051896,0.44701782568676,0.133199442962599,9.39833352577382
"GSM672752",7.746923792,9.61009368,14.64878104,9.889610409,7.8218671,7.812289591,8.041924721,7.363712268,7.461993309,9.827327509,8.714569888,8.923778439,9.101403346,9.204114126,0.315434703966185,0.480503510013878,10.2016793044186
"GSM672753",7.8676671,9.866851301,14.6281855,9.825399257,7.838514126,7.910605948,8.060499628,7.381439405,7.392457621,9.629740892,8.724292565,8.948910409,9.170989591,9.15257658,0.238033508325834,0.712642482358983,10.738637783125
"GSM672754",7.855413383,9.636028996,14.5973803,9.448824164,7.890224164,7.88012342,7.957765056,7.410212639,7.486243494,9.534535316,8.458105948,8.721311896,9.276272862,9.150171375,0.178049668449599,0.922823222298459,11.2248048804941
"GSM672758",15.01087881,10.63703123,13.07116617,13.86665948,14.31325613,12.63305613,12.51217212,12.61667063,12.78208439,13.20139963,11.06673011,11.10672639,11.67702007,11.47546394,0.347839572328205,0.391159767608524,9.9950191321982
"GSM672759",14.91633309,10.69497435,13.01324461,13.46775725,14.51807323,12.52835316,12.42288327,12.68047472,12.79829665,13.41130855,11.02368327,11.15677881,11.89740595,11.69090818,0.330793275079503,0.437723750900046,10.1027258450269
"GSM672760",14.8169052,10.70593401,12.98548327,13.51044907,14.45026283,12.43328327,12.20653755,12.25488792,12.59637175,13.08980112,10.92615725,11.02147063,11.51240149,11.39588067,0.399207266456624,0.255399531099582,9.68099340300576
"GSM672761",14.50400372,10.39915502,13.14322714,13.30781115,13.80104535,12.07438996,11.92414164,11.97502342,12.03291822,12.71191784,10.6382342,10.7016487,11.32697918,11.12277175,0.355673962204242,0.37004639168304,9.9461819804577
"GSM672762",13.95989033,10.47263569,13.08980112,12.89381004,13.55765056,11.69475316,11.60389777,11.58508885,11.83606431,12.65911338,10.27073271,10.51293717,11.09626803,10.85811264,0.351411451303476,0.381512628151782,9.97270442444263
"GSM672763",14.22564647,10.50714535,13.2139171,13.42184944,13.73114758,12.18422007,11.95485762,12.15447286,12.28434275,13.05163569,10.95534349,11.09151115,11.7195487,11.50287249,0.116173486098952,1.19433494790516,11.8528361053243
"GSM672764",14.41869665,10.25613717,13.01151115,13.38162063,13.9789632,12.29166617,12.01304089,12.1574803,12.54170929,13.07284758,11.08210335,11.13356654,11.7975223,11.56165688,0.153252898284264,1.02258142334,11.4555546392641
"GSM672765",14.74027026,10.45007435,13.20863941,13.25168253,14.22263903,12.65214405,12.48282323,12.57880929,12.75551227,12.97704498,10.91210632,10.96242974,11.56165688,11.21785428,0.35603143767067,0.369087004170738,9.94396283020519
"GSM672768",14.44658587,10.60271673,13.11539071,13.71904721,14.12469963,12.11816134,12.29611413,12.28154684,12.60742379,13.33519294,10.8312829,11.07564796,11.78955725,11.57396654,0.243683508214877,0.694502686821954,10.6966787922791
"GSM672769",14.61673569,10.79103494,12.75065836,13.79859108,14.03726022,12.29166617,12.22879703,12.17875688,12.49718067,13.36438513,10.87773792,10.94154387,11.67069814,11.36494387,0.313252658033738,0.486651506664711,10.2159001777833
"GSM672770",14.49293792,10.54862454,12.97704498,13.52764833,13.94112825,12.04992751,11.95349405,11.99907435,12.3046145,13.19436877,10.95058736,11.23174721,11.77020669,11.59151078,0.192752136424433,0.867799191275389,11.0975293106406
"GSM672771",14.11029777,10.68896989,13.2291658,13.18357249,13.66292007,11.78463792,11.65592045,11.5375197,11.70109888,12.98202045,10.76665242,10.88235985,11.49097026,11.33991747,0.217616956801638,0.780266692513403,10.8950587090962
