"","fabL","spoVT","yfhP","sspE","pval","z","inv_cof_var"
"GSM672788",12.18563792,10.65846506,10.30341896,13.37430892,0.165385541473025,0.972561906650632,15.2048899462775
"GSM672791",12.26996654,11.18683271,10.64676803,13.81090595,0.401312563033354,0.249951150353167,11.9679993108494
"GSM672792",12.31870483,11.01789926,10.60630929,13.82056989,0.372362953856306,0.325601459619381,12.3068702389348
"GSM672793",12.42432045,11.2284513,10.66314126,13.93848699,0.371991017412147,0.326584676674249,12.3112744995271
"GSM672795",12.57725279,11.34454126,10.72067398,13.79859108,0.161766026103897,0.987225604670691,15.2705750836606
"GSM672796",12.05132193,10.29722862,10.05844498,13.0950171,0.0835619121281096,1.38150473075942,17.0367242862003
"GSM672797",12.64033755,11.4682684,10.75005539,13.98436729,0.240325469531222,0.705255996844313,14.0075094911622
"GSM672798",12.63150967,11.38636171,10.91574907,13.89516245,0.186219886494397,0.891912614042669,14.8436263784139
"GSM672799",12.57565725,11.21065762,10.78529777,14.10748848,0.371492914137393,0.327901911670869,12.3171749730366
"GSM672800",12.58894312,11.22259814,10.69138996,13.94393941,0.251667976889806,0.669250097551899,13.8462232700202
"GSM672801",12.50329219,10.57802751,10.58518067,13.48460855,0.0393190757888344,1.75864307617165,18.7260924112759
"GSM672802",12.54716636,11.28217807,10.588729,14.07896877,0.37369659027849,0.322078559544715,12.2910896237671
"GSM672803",12.72122491,11.4285632,10.76128123,14.04813494,0.222788315514292,0.762810143178127,14.2653197654689
"GSM672804",12.71352639,11.42303234,10.83943569,14.16068439,0.305155669487458,0.509629091305191,13.131210746563
"GSM672805",12.61945911,11.35503383,10.64919294,14.12469963,0.350906125578191,0.382875266318058,12.5634247490118
"GSM672806",12.18422007,11.16042491,10.47560372,13.59271896,0.320209588150901,0.467112800717452,12.9407616262624
"GSM672807",12.45691115,11.23174721,10.61201561,14.01692193,0.398569403345373,0.25705177260476,11.9998061134351
"GSM672808",12.58472156,11.33162788,10.65031264,14.19849442,0.421495177710902,0.198069924484657,11.7356005363989
"GSM672809",12.44358959,11.09734126,10.7748487,14.11328476,0.464570877449936,0.0889246983014255,11.2466911789678
"GSM672810",12.61107732,11.51478885,10.66206617,14.26946022,0.44557090496236,0.136859553044,11.4614124256066
"GSM672811",12.43925799,11.03410706,10.61440372,13.91315353,0.344370121006652,0.400565239756684,12.6426659018254
"GSM672812",12.64499628,11.21184758,10.69258996,13.66754238,0.0504817428057947,1.64020049899405,18.1955361393674
"GSM672813",12.80614647,11.42471599,10.68896989,13.94112825,0.0970979673882209,1.29826603120689,16.6638616284849
"GSM672814",12.91991375,11.51608104,10.69941338,14.23797286,0.203063993491066,0.830726792797181,14.5695482387177
"GSM672815",12.43023309,11.33044126,10.52397398,13.66292007,0.178880600686924,0.919639455079046,14.9678270650471
"GSM672816",12.37973866,11.05398736,10.47381227,13.44091413,0.0779258326744785,1.4191624335528,17.2054096599805
"GSM672817",12.03685651,11.06334126,10.15634833,13.45721859,0.340335770287945,0.41154692466682,12.6918576869421
