"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672669",13.66870985,13.02672268,13.72863755,13.54539665,13.98155204,13.88738959,10.48335762,14.65737807,14.75366506,14.89277844,11.16098439,11.75559182,14.66993086,14.50030743,0.483809093430972,0.0405957318272725,8.49169923055028
"GSM672671",13.34507323,12.29611413,13.6081974,13.34864684,13.72151636,13.5255539,10.46929405,14.3002197,14.43977026,14.6242052,11.03990446,11.32028439,14.42209108,14.17513717,0.444598715579838,0.139319816661075,8.66365392329798
"GSM672672",13.4367223,12.56927323,13.60618996,13.64514461,13.94646394,13.49568401,10.51658141,14.19849442,14.26317249,14.66175056,10.97260186,11.13711487,14.53294684,14.177971,0.479935978885304,0.0503142632067432,8.50862668123396
"GSM672683",10.05582602,11.30964275,13.27671636,12.36989182,11.88011524,11.34575651,11.43453903,13.9054052,14.37361413,14.04552862,11.82635428,11.36849442,13.91315353,13.57959368,0.477128133430862,0.0573627103952579,8.52090345819968
"GSM672684",9.943906691,11.00480892,13.35045167,12.53873903,11.73118327,11.38041859,11.40767807,13.68668848,14.31325613,13.80104535,11.53991375,11.2329223,13.81090595,13.20690632,0.45103642853329,0.123043240578183,8.63530386420116
"GSM672685",10.03493197,10.85192937,13.19072825,12.719671,11.93752491,11.27490967,11.34212082,13.26165428,13.9974171,13.56203011,11.63990818,10.91574907,13.72369888,13.03394164,0.316227889854127,0.478273184349271,9.25403287990965
"GSM672686",10.01006208,10.96004981,13.1633513,12.26996654,11.76756747,11.38992602,11.30249071,13.8485,14.177971,13.77175465,11.67967361,11.29347026,13.83728625,13.46775725,0.439585211961916,0.152020934862705,8.68577635554529
"GSM672687",10.18579145,10.83013309,13.35250967,12.25148216,11.76177175,11.40524758,11.03646654,13.6744539,14.03459963,13.70401115,11.44420669,11.24703346,13.55356059,13.34864684,0.361051826640594,0.355648719235424,9.04044921126891
"GSM672688",10.5722368,10.83819963,13.28852007,12.3463026,11.93752491,11.60389777,11.14255428,13.49977695,13.78598662,13.40275985,11.41278104,11.05639108,13.38058216,13.18883978,0.135399791567488,1.10122307064147,10.3390685778847
"GSM672693",12.85924703,12.6866171,13.56651933,13.58176394,13.17423792,13.08473941,10.25008439,14.03459963,14.09040223,14.27893866,10.72286952,10.96463569,14.29121375,13.82289926,0.485091955302802,0.0373776278339181,8.48609403213959
