"","mta","ydfK","ymfD","ymfF","ymfH","pval","z","inv_cof_var"
"GSM672763",9.008102974,7.778707063,9.109746468,11.78463792,11.76116208,0.351276264987698,0.381877095863669,5.49890474703948
"GSM672764",8.91457658,7.849694796,9.075482156,11.74700781,11.68967509,0.318429829476084,0.472094050435237,5.58415364490812
"GSM672765",8.997761896,7.879058736,9.1897829,11.76959033,11.70990037,0.283067373608403,0.573753310952265,5.68021474515665
"GSM672766",9.27505948,7.544768401,8.938842007,11.79984164,11.59652825,0.396391890787082,0.262697451050019,5.38628807296765
"GSM672767",8.890312639,7.925253903,8.986883643,11.89925465,11.63132268,0.339853684626758,0.41286248343174,5.52818383490888
"GSM672768",8.784646468,7.909552788,9.29452974,11.77697584,11.76691301,0.317740962347407,0.474025217446575,5.58597846664034
"GSM672769",9.323555762,8.024301487,9.006797026,11.8697881,11.59151078,0.207118665666415,0.816459581753661,5.90955569542352
"GSM672770",8.946330112,7.800219703,9.187238662,11.8281881,11.81549405,0.368363589779603,0.336190548754594,5.45573406136329
"GSM672771",9.187238662,7.859383271,9.178548699,11.85426952,11.86852528,0.322206232719957,0.461538277967784,5.57417915648434
"GSM672772",9.329881041,7.760930855,9.164875465,11.56050372,11.7080197,0.225620863893008,0.753346491872079,5.84991810979408
"GSM672773",9.322251301,7.994655204,9.110960595,11.57396654,11.54293587,0.121846038725015,1.16580801124622,6.23966624645918
"GSM672774",9.054672491,8.00069777,9.215022305,11.90698848,11.72602565,0.264290668936512,0.630173098620201,5.73352761455593
"GSM672775",9.085415985,7.466259108,8.909420074,11.80120297,11.7111632,0.490338459303183,0.0242202588972963,5.16094331494105
"GSM672776",9.084210409,7.876136059,9.07303197,11.61993123,11.6386974,0.230388086352488,0.737569372534687,5.83500980301913
"GSM672778",9.01662119,7.865181413,9.167288104,11.60768401,11.63497546,0.22689923857812,0.749097441244285,5.8459030453893
"GSM672779",8.899360595,7.867135316,9.07303197,11.6834855,11.58623978,0.270482082640347,0.611355637012324,5.71574639072306
"GSM672780",8.944990335,7.678274349,8.922488848,11.81170372,11.66334796,0.418515751995749,0.205692005153692,5.33242179629881
"GSM672781",8.993447584,7.696285502,9.054672491,11.8387684,11.78707844,0.418042281819966,0.206904344340042,5.33356737453264
"GSM672782",9.145479182,7.647143123,9.014144981,11.69607844,11.46098476,0.295536804489317,0.537280882266347,5.64575077590794
"GSM672783",9.273874721,7.801209294,9.120642751,11.70990037,11.33044126,0.176061039339045,0.930481035611473,6.01729822919578
"GSM672784",9.249828996,7.779197026,8.894226394,11.98584164,11.43575836,0.330484846468384,0.438574754493807,5.55248018563531
"GSM672785",9.306693309,7.733788104,9.059653903,11.91770855,11.52583048,0.307561296140254,0.502774829407928,5.61314489833264
"GSM672786",9.27505948,7.983840149,8.863658364,11.97097658,11.41994833,0.247978985029824,0.680863334792606,5.78142644673132
"GSM672787",9.096666171,7.879058736,8.854895539,11.66334796,11.48265204,0.239481450782352,0.707971587934642,5.8070419057598
