"","acpK","codY","abrB","pksC","pksD","pksE","pksF","pksG","pksH","pksI","pksJ","pksL","pksM","pksN","pksR","pval","z","inv_cof_var"
"GSM672668",11.4562539,12.38563941,12.49886208,12.56771524,11.91770855,11.59397472,11.25023494,10.70047807,10.73466766,10.65251152,10.8438829,11.25578067,10.91574907,11.07504796,11.24358141,0.0165357919817362,2.13121317665465,20.6058837055203
"GSM672669",11.51118996,12.55260149,12.01920743,12.63741822,11.75807658,11.43453903,11.27025613,10.67379851,10.80278067,10.73825836,10.91329926,11.37801599,11.01554164,11.18137621,11.34998104,0.00831468564758194,2.39480136689298,21.6258616512176
"GSM672670",11.2202,12.21777212,11.89411264,12.45103717,11.58383606,11.2284513,10.77818476,10.44625204,10.45493383,10.48689405,10.59704647,11.04224089,10.66610781,10.95058736,11.14367621,0.0297120896947341,1.88504191271833,19.6533021052125
"GSM672671",11.0006961,12.36989182,11.99392119,12.39750149,11.51852045,11.23692379,10.77595948,10.2729855,10.16625242,10.35158587,10.55808699,10.98499331,10.66970743,10.98158476,11.18360929,0.0601479624105609,1.55353269397966,18.3704976988275
"GSM672672",10.69553773,12.33317249,11.93222788,12.1574803,11.14869108,10.7748487,10.5558368,10.01882751,10.01006208,9.902143123,10.07861952,10.50661152,10.16879219,10.47046803,10.74269703,0.0966158181118042,1.30107835383318,17.3936031763067
"GSM672673",10.84170743,12.32875093,11.69867212,12.21777212,11.24703346,10.92265688,10.57802751,10.08164275,10.14157732,10.21035353,10.26606654,10.72878178,10.31526468,10.65138476,10.85440372,0.0544364756575975,1.60327954096965,18.5629975477467
"GSM672692",10.91926171,13.30973011,13.1496961,12.47178253,11.52692491,10.97474461,10.36110929,10.1489197,10.25863271,10.1390197,10.19626394,10.63703123,10.26231375,10.72635353,11.09271227,0.176840934616125,0.92747133282494,15.9478975798552
"GSM672693",11.01614368,13.47196803,13.10592714,12.68047472,11.63132268,11.06789331,10.65251152,10.08529814,10.27181115,10.11462639,10.3563777,10.83943569,10.53548253,10.8927461,11.30014833,0.22378291464299,0.75947940517318,15.2978378745815
"GSM672694",10.85317881,13.38884164,13.13379517,12.5077974,11.41994833,10.90396134,10.38173197,9.982824907,9.942540149,10.01496245,10.06692714,10.47263569,10.10585762,10.49409517,10.91080595,0.278219847292643,0.588137961414878,14.634816918827
"GSM672701",11.92944684,12.85840781,14.55173829,13.39496283,12.11816134,11.76691301,11.58256431,10.98619703,10.95418476,10.99374219,11.09843086,11.19886617,10.60519108,10.85929926,11.173071,0.211808354868466,0.800162402979206,15.4552643529433
"GSM672702",12.02526264,13.0393197,14.52939071,13.31550074,12.14178848,11.71895929,11.64738439,10.94269926,11.12637026,11.11460186,11.03990446,11.13356654,10.57562602,10.75950632,11.07978216,0.207590717250433,0.814809373720565,15.5119421089306
"GSM672703",11.99907435,13.0393197,14.5931777,13.53453569,12.44963011,12.00980706,11.89151413,11.10549071,11.16719814,11.19026506,11.15801487,11.34454126,10.75245725,10.97474461,11.23069257,0.230800884285359,0.736211871696374,15.2078020843753
"GSM672704",9.669020446,13.0917539,12.91305019,11.95198364,10.40512788,9.895909665,9.458850929,9.163631227,9.15257658,9.205351301,9.241455019,9.767536431,9.592969888,9.860341264,10.0766881,0.427368422634591,0.183077964577982,13.0674012349745
"GSM672705",9.639292565,12.97208327,13.18522751,11.80381487,10.25749294,9.982824907,9.419314498,9.025208922,9.119518959,9.054672491,9.086720446,9.528605204,9.391851487,9.708602974,9.917216729,0.43323586241782,0.168141801221159,13.0096044224409
"GSM672716",10.51658141,13.04265836,13.1633513,12.29913829,11.26048625,10.69834424,10.13658327,9.869347584,9.880541264,9.957539405,9.978907063,10.33111822,10.00747918,10.14765651,10.42599777,0.233107669220187,0.728650730016608,15.1785435741565
"GSM672717",10.59704647,13.03040297,13.10047026,12.34942305,11.39810297,10.79800781,10.20901524,9.932549814,9.964272119,9.970596283,10.05704498,10.41638848,10.07917026,10.19817918,10.44810948,0.236989476791952,0.716020074419592,15.1296681289516
"GSM672718",10.5733777,12.98202045,13.20139963,12.31733383,11.49942454,10.91817807,10.23892602,9.82355539,9.911007435,9.855787175,9.914948327,10.27553494,9.893404089,10.04785297,10.43198662,0.337613727434789,0.418984507406397,13.9802625840096
"GSM672728",12.69237249,14.08209294,11.62612305,14.22564647,13.09676506,12.67265651,11.85276729,11.32135353,11.29347026,11.25937026,11.55800706,11.86338253,11.02656004,11.17542156,11.36612639,0.477134364914685,0.057347064668907,12.5808743352527
"GSM672729",11.71712751,14.06484089,11.3084513,14.2077948,13.01151115,12.36528178,11.61378959,11.05172937,11.06972454,10.97260186,11.32364052,11.92944684,11.51009108,11.69607844,11.72986729,0.414575944088146,0.215789429594437,13.1939811582179
"GSM672730",12.63002937,13.95159331,11.11351933,14.04023532,13.11539071,12.69237249,12.36293792,11.545929,11.47842751,11.49942454,11.71053178,11.85214108,10.67507658,11.10315688,11.27025613,0.441896341751073,0.146163038055128,12.9245556435757
"GSM672734",12.30746208,13.49133829,11.35999851,13.48460855,12.66502602,12.32742639,11.74338513,11.28562714,11.19509517,11.13814721,11.42064888,11.73973234,11.09626803,11.05172937,10.93927732,0.224863024382807,0.755871823758911,15.2838780174402
"GSM672735",11.9151855,13.72863755,11.24960967,13.93848699,12.88597286,12.05679591,11.24112156,10.97369777,10.81497212,10.67258401,11.16780799,11.67069814,11.19761078,11.22078922,11.19147212,0.468742787899741,0.0784305464624669,12.6624587432207
