"","amyE","abrB","ccpA","glpD","rbsA","rbsB","rbsC","rbsD","rbsK","rbsR","pval","z","inv_cof_var"
"GSM672791",8.686794052,13.69168178,12.81725688,8.966280669,7.705065799,7.999137918,7.740816729,8.062080297,8.730405576,9.032881413,0.310227036989615,0.49520690925949,15.2898451056762
"GSM672792",8.35422974,14.00014721,12.80470855,8.96094052,7.534707435,7.799313755,7.54200855,8.041408922,8.438575465,8.853779182,0.347878660935208,0.391053999200465,14.7868726979095
"GSM672793",8.438575465,14.31325613,12.86480892,8.671066914,7.654162825,7.849694796,7.649154647,8.094953903,8.540665428,8.981802602,0.22426766884966,0.757859099546344,16.5582379377048
"GSM672794",8.550620446,14.58543234,12.33601004,8.750019703,7.656668401,7.811251301,7.550943123,8.003266543,8.496584015,9.026469888,0.328392642115867,0.44435591070142,15.0442768429402
"GSM672795",9.456306691,12.3749816,12.52395651,8.691702974,9.293330483,9.522955019,9.385126394,9.670372119,10.10585762,10.60049368,0.203338927753018,0.829754049573608,16.9054310799894
"GSM672796",8.813281784,11.73846877,12.38563941,8.617136803,9.087366171,8.956904089,8.84164461,9.371795353,9.709953532,10.06210632,0.121966237713049,1.16521376431283,18.5254240339597
"GSM672797",10.05582602,14.4894368,13.74402658,9.732179926,10.30466134,10.32496394,10.09954424,10.64676803,11.18360929,11.39341227,0.132439966254475,1.11493113685166,18.2826005335059
"GSM672798",10.09834833,14.39951896,13.77875762,9.630962082,10.20527881,10.35981673,10.26107435,10.62500372,11.1778052,11.44420669,0.158230969433885,1.0017549938471,17.7360533739834
"GSM672799",9.06572974,14.35627175,13.08980112,9.298148699,8.237660223,8.938842007,8.442299257,8.491805204,9.256607621,9.55144052,0.106319601135119,1.24634108022367,18.917201867111
"GSM672800",8.831322305,14.19849442,12.8108052,9.139572491,7.854380669,8.142903532,7.845779182,8.207724907,8.905109108,9.250950186,0.341898680222191,0.407286794688002,14.8652636735099
"GSM672801",8.849630483,13.83859442,12.90971413,9.157205948,7.846815613,8.056952788,7.782479554,8.114809665,8.854337361,9.174298141,0.375563425466368,0.317153869748749,14.4299961975454
"GSM672802",8.742515613,14.5973803,12.74445799,9.02775539,7.776724164,7.989135316,7.722443123,8.209816357,8.730405576,9.03881487,0.301162906659585,0.521058796101005,15.4146883362938
"GSM672803",9.062107435,14.50400372,12.88900186,9.082944981,8.052390335,8.287225279,7.937469888,8.663332342,9.144256877,9.433663197,0.289033626997633,0.556210072945152,15.5844399288355
"GSM672804",8.96372119,14.01388922,12.92910465,8.915866543,8.061049071,8.228271004,7.926234201,8.596839033,8.969505762,9.513952416,0.266760799203358,0.62263927111675,15.9052380105353
"GSM672805",8.873246097,13.44724164,12.67568848,8.805447212,8.075726022,8.215446097,8.021720446,8.398508922,9.095472862,9.509933457,0.246922057167637,0.684207551689452,16.2025618808348
"GSM672806",9.237713383,11.91770855,12.14111636,8.669790335,8.6819829,9.076839777,8.539452788,9.166081041,9.494378067,9.995141264,0.113400291551894,1.20864155811945,18.7351443576888
"GSM672807",10.18292509,14.72779442,13.65160669,9.580311896,10.70775019,10.78305911,10.42480074,11.10549071,11.48741822,11.64738439,0.280468262440286,0.581451012895162,15.7063327912986
"GSM672808",10.06807993,14.84911041,13.77875762,9.625894424,10.49665279,10.78305911,10.2065,10.87672565,11.29045911,11.65346208,0.260698473896889,0.641193537586137,15.9948397708237
"GSM672809",9.10509368,14.71898885,13.25369033,9.167288104,8.443499628,8.955711524,8.359057249,8.900716729,9.300388104,9.623286617,0.0413745572878631,1.7349530892715,21.2767937259966
"GSM672810",9.166081041,14.22852825,13.02196208,9.585373606,8.445764684,8.523889219,7.908544238,8.548211524,9.446366171,9.552804833,0.38789164710172,0.284818374506649,14.2738425011289
"GSM672811",8.966280669,14.5149171,12.94134015,9.025208922,8.038151301,8.173079926,7.966381413,8.636723792,9.263217472,9.447581784,0.322199822591644,0.461556151674553,15.1273397800345
"GSM672812",8.998344981,14.70664796,12.85079387,8.900716729,7.952664312,8.195326022,7.928262825,8.349314126,8.884842007,9.376255762,0.26414226726541,0.630626856247817,15.9438114399607
"GSM672813",9.242672119,14.3002197,12.92588699,8.898016357,8.134901115,8.363724164,8.1188829,8.507581413,9.260887361,9.648879926,0.312744620621343,0.488085556441821,15.2554548618392
"GSM672814",9.215614684,13.88999294,13.15779442,8.809375836,8.247687361,8.373463569,8.078779554,8.574934572,9.455064684,9.712572491,0.349697702346038,0.386136735421642,14.7631263810658
"GSM672815",9.070645725,13.57540669,12.58472156,8.617136803,8.213257249,8.319688104,8.175404461,8.64275539,9.197054275,9.71651487,0.254797132796738,0.659469593207087,16.0830980028303
"GSM672816",9.418096283,12.89897175,12.18289145,8.576081413,8.577357993,8.676886989,8.491805204,8.883541264,9.458850929,9.798108922,0.14805352925098,1.04481807685521,17.9440124462184
"GSM672817",8.932741636,12.50036468,12.29753643,8.671066914,8.546823048,8.702976208,8.487209294,8.934030483,9.482872862,9.857714498,0.119463847831388,1.17767124279035,18.5855833510732
