"","phrI","comA","rapI","ycxA","ywhH","pval","z","inv_cof_var"
"GSM672703",13.32734535,12.40194684,10.31281784,10.24510112,10.63199814,0.397839508155511,0.258943264161748,7.54513209685861
"GSM672704",12.59350818,12.13522082,9.933688848,10.92735539,10.59470558,0.0567129480556218,1.58298055658158,9.72699120929293
"GSM672705",12.6836,12.09369554,9.885793309,10.95418476,10.63444684,0.0903745020305822,1.33845240962784,9.32403732821106
"GSM672706",12.67568848,12.02055242,10.02762937,10.70532379,10.0742026,0.161073065422255,0.990057262838731,8.74992273936859
"GSM672707",12.56927323,12.05292342,10.23546394,9.92234461,9.541005576,0.352319228976606,0.379066532736485,7.74308124047841
"GSM672708",12.72872639,11.98584164,10.23788662,9.77656171,9.662597398,0.441015705318787,0.148394537692239,7.36296068250616
"GSM672710",12.53873903,12.15447286,9.564360967,11.98320223,9.719139405,0.49096119580454,0.0226588609496378,7.15576294447451
"GSM672711",12.56927323,12.01371413,9.567028625,11.802529,9.837497398,0.423680062927793,0.192487796887126,7.43562123362664
"GSM672712",12.64743996,12.15595799,9.603594796,11.57153606,9.703587361,0.449425382609279,0.12711324915426,7.3278915997947
"GSM672713",13.58822193,11.38636171,10.72878178,10.68896989,10.1266829,0.473569672856989,0.0662995446897102,7.22767770400302
"GSM672715",13.55765056,11.63001524,10.79800781,10.8252368,10.21761561,0.391043563369525,0.276600179646623,7.57422863527842
"GSM672716",13.20410743,12.46166171,10.24754089,11.04938625,10.54444219,0.214064155403109,0.792398573713442,8.42420426112872
"GSM672717",12.94628513,12.16890595,10.1464539,11.24358141,10.65846506,0.0988602051245239,1.28807341018891,9.24101860990875
"GSM672718",12.94628513,12.48666022,10.17617398,11.1592223,10.58157807,0.105765640631815,1.24936588208083,9.17723311579471
"GSM672746",12.39445725,10.80995428,9.956275836,9.815632714,9.519147584,0.329032996699509,0.442584921211937,7.84775214023005
"GSM672748",12.35132732,10.83366729,10.18716803,9.50463829,9.364909294,0.408662678475392,0.230986413692276,7.49906246626664
"GSM672750",11.30483197,11.76959033,8.906881413,10.06807993,8.662657993,0.290303218687715,0.55249911969334,8.0288779264262
"GSM672751",10.97369777,11.83742714,8.955711524,10.03493197,8.60996171,0.129995473159475,1.12641252823399,8.97462032155475
"GSM672752",11.33291115,11.81046245,8.942527509,9.140726766,8.332564684,0.479004196046385,0.0526529943729031,7.2051897798845
"GSM672756",11.65836766,12.16308104,8.766517844,9.839937175,8.985678439,0.417066108333934,0.209404837541545,7.46349854457444
"GSM672757",11.5350052,12.00305651,8.859812268,10.31040186,8.635448699,0.465807518427919,0.0858130443294462,7.25983367668459
