"","spo0E","abrB","rok","yydF","yydG","yydH","yydI","yydJ","pval","z","inv_cof_var"
"GSM672793",11.09626803,14.31325613,12.77412974,14.01120595,11.74338513,12.9504948,13.11699257,13.19793569,0.410198372222695,0.227034719876295,11.8922883323565
"GSM672794",11.68734461,14.58543234,12.78510967,15.05480706,12.20714368,12.8811052,13.46775725,13.37237472,0.498009261871061,0.00499006119065178,11.1853408019026
"GSM672795",12.16032193,12.3749816,13.73822305,15.01087881,13.71904721,13.06578587,13.93093309,13.28644796,0.170801208329342,0.951003859489206,14.1972669722561
"GSM672797",11.14480149,14.4894368,13.08627212,13.11975465,10.35275874,12.11816134,12.39750149,11.87881301,0.375702397206805,0.316787572791307,12.1780441712722
"GSM672798",11.07026989,14.39951896,13.02672268,12.92503755,10.35757398,12.00437026,12.17460074,11.99779554,0.282613040820387,0.575096430882119,13.0004499449693
"GSM672799",10.66433346,14.35627175,13.14508736,13.16499442,10.69834424,11.75619089,12.31592825,12.12215242,0.383935379450581,0.295161175472932,12.1091898774228
"GSM672800",10.60684089,14.19849442,12.75841524,13.13668476,10.56517138,12.12529108,12.30598216,12.04739517,0.44427811351881,0.140131330018387,11.6156046363299
"GSM672801",10.86517584,13.83859442,12.49420967,13.51044907,10.94953011,12.52103866,12.88983086,12.44507026,0.468418998100458,0.0792446933354897,11.4217532836542
"GSM672802",11.29045911,14.5973803,12.7521803,14.00590855,11.45513903,12.44577862,12.87464238,12.44072714,0.337203052965551,0.420108619880226,12.5069985334973
"GSM672803",11.29171004,14.50400372,12.73507807,13.16499442,10.92844275,12.03148699,12.40042639,12.29315279,0.120557732857477,1.1722032454824,14.9015233168646
"GSM672804",10.95418476,14.01388922,12.77884796,13.66527955,11.27618439,12.16032193,12.5312223,12.37289182,0.330763379565138,0.437806223496448,12.5633443030623
"GSM672805",11.10549071,13.44724164,13.03040297,13.75453086,12.07438996,12.61541041,13.07116617,12.6482026,0.192068862714238,0.870297718511298,13.9403141259479
"GSM672807",10.79346208,14.72779442,13.40705576,12.63451004,10.07917026,12.03948625,12.18563792,12.06361859,0.409324811260835,0.2292821547449,11.8994437331647
"GSM672808",11.08792416,14.84911041,13.49451078,13.22356468,10.18349442,11.85426952,12.31945409,12.08289703,0.490648479477837,0.0234429328343769,11.2440911997529
"GSM672810",10.495429,14.22852825,13.35442714,12.03818364,10.04345948,11.45127844,12.15595799,11.42599665,0.241928411859475,0.70011286248782,13.3984782430286
"GSM672811",10.7487777,14.5149171,13.01521004,12.72122491,10.49072788,12.32584796,12.60668736,12.35779405,0.393509777240607,0.270182890895811,12.0296638185601
"GSM672812",10.96182472,14.70664796,12.89897175,13.06578587,10.80403717,12.62380409,12.74146729,12.80614647,0.386394706101271,0.288728159031822,12.0887083890891
"GSM672813",10.91817807,14.3002197,13.00807138,12.54013457,10.56761375,12.3842197,12.59489368,12.56328699,0.297715414200156,0.53098261220514,12.8600000221601
"GSM672814",10.68093011,13.88999294,13.28852007,12.51075985,10.28889442,11.99392119,12.23010929,12.20774981,0.330351696122557,0.438942235618431,12.5669611473897
"GSM672815",10.9214461,13.57540669,12.76461152,13.82056989,11.74338513,12.93810186,13.28452677,13.19793569,0.448494661945489,0.129465497834897,11.5816466759493
"GSM672816",11.66395874,12.89897175,13.11539071,15.19678141,13.47410706,13.85627844,14.12791078,13.88486654,0.414812804459593,0.215181762988249,11.8545507950062
