"","accA","spo0A","accD","kinA","kinC","ktrC","racA","sirA","spo0F","spoIIE","txpA","yerB","yerC","yisK","yisL","ykqA","yneF","yodL","yppD","yppE","yusD","yusE","pval","z","inv_cof_var"
"GSM672694",13.07797286,13.24788216,14.1456342,11.16841784,11.44532602,12.13314833,9.963064312,9.305324535,12.64259517,8.274050558,12.1967829,13.74295651,12.61945911,12.33457361,12.2735171,11.18360929,14.42909851,10.12320297,8.461734572,10.39436654,11.04117175,10.95294498,0.478193692335707,0.0546875544044416,6.73611808995943
"GSM672695",13.4367223,13.46569219,14.04813494,11.77196952,11.6834855,12.41567323,10.35981673,9.287444981,10.73234387,8.875758736,11.38512714,13.4302974,12.55092639,12.45691115,12.94970781,11.12277175,14.20152714,10.25863271,8.611122677,9.784247584,11.11124164,10.75245725,0.387116438568553,0.28684255516703,7.01026534993284
"GSM672697",12.85762007,13.58394275,13.72151636,11.18467807,11.60768401,12.57565725,9.805604833,9.484101859,11.70109888,9.462750186,12.44358959,13.69168178,12.77243197,12.27423903,12.13114796,11.23992454,15.83757435,9.942540149,8.700556506,10.60049368,10.76070037,10.88470892,0.45465068227883,0.113919806380603,6.80606428766346
"GSM672698",13.29824572,13.95989033,14.4894368,10.59003234,10.95058736,12.07589257,12.99767955,13.14873532,13.39298996,13.06050818,11.77082305,15.34516989,14.05925799,12.61245019,11.98715093,11.07385093,15.45858439,12.50924944,11.57750409,11.72602565,12.85683234,11.31335911,0.0124568565312634,2.24273802466643,9.31994371997154
"GSM672699",13.22356468,13.85341561,14.53294684,10.29002602,10.61555799,11.69607844,13.02196208,13.2692461,13.25168253,13.08807955,12.22879703,14.97281599,14.23157435,12.37568327,11.49352602,10.8438829,14.83115242,12.67491394,11.56802119,11.63563178,12.82942007,11.18360929,0.0161335568219041,2.14108587369803,9.19990470049383
"GSM672700",13.32938104,13.66069851,14.46059071,10.3697052,10.4357777,11.81170372,12.76007472,13.07957993,13.38472454,13.06929071,11.72854535,15.31526691,13.98155204,12.51518699,11.49040595,10.9382052,14.98879926,12.4688316,11.40274498,11.38636171,12.77884796,11.32936877,0.0292782280400786,1.8915088098706,8.90518406998513
"GSM672701",13.15597175,13.52997026,14.21958662,11.284429,11.51009108,12.42150967,12.15595799,11.02712677,12.9397052,9.712572491,12.00844572,13.73822305,12.70631673,12.06628662,11.46159238,11.21785428,14.9261052,11.05971004,9.917216729,11.02368327,12.30886543,12.08289703,0.0128311698755093,2.23128374444111,9.30641758644686
"GSM672702",13.29444201,13.58176394,14.09313569,11.2284513,11.44062416,12.66502602,12.55092639,11.06557435,12.94794461,10.00124461,11.98045539,13.80827249,13.04989703,12.11117286,11.76571784,11.09271227,15.21679294,11.18360929,10.28280446,11.41517398,12.49265874,12.15306543,0.00755189973075191,2.42988055584284,9.54093664270841
"GSM672703",13.16149219,13.55030911,14.11600446,11.20118141,11.57153606,12.56473271,11.96003271,10.78990446,12.76600149,9.559210037,12.06073494,13.66292007,12.94134015,12.19956989,11.62253309,11.20930781,14.83115242,10.98158476,9.727094424,11.08210335,12.22305651,11.99124944,0.0183581818802074,2.08890402166537,9.13828418097841
"GSM672713",10.64862714,12.00437026,11.39810297,11.64738439,11.35503383,12.54480855,9.90340855,11.64474981,11.73350112,7.820356506,11.9151855,12.14450074,11.14480149,13.12244907,12.50487918,10.98036283,14.49293792,10.10585762,9.017775465,11.18912454,11.51852045,10.91700595,0.120350528514457,1.17323630473031,8.05699024020922
"GSM672714",10.48220409,11.96003271,11.52222045,11.85813271,11.5375197,12.55561822,9.855135316,12.55874387,11.50287249,7.578592565,12.15180074,12.08145093,11.75807658,12.82640149,12.36989182,10.88695465,15.1469052,9.395199628,8.99717881,11.35290967,11.48685799,11.37323197,0.303399908833163,0.514646853934069,7.27927495175923
"GSM672715",10.82410781,12.03426766,11.56165688,11.66956506,11.34212082,12.49420967,9.933688848,12.18289145,11.51478885,7.735995539,11.65651599,12.39295911,11.59397472,12.92828178,12.36369665,10.89029628,14.5973803,9.673109665,8.942527509,11.30964275,11.24358141,10.97694387,0.162200523068167,0.985454142326299,7.83524198957563
"GSM672718",13.59271896,13.06752156,14.35627175,10.29357361,11.77082305,12.2829855,10.08286914,9.841120818,12.22038662,9.132736059,12.09093494,13.84343978,12.83902974,11.56434796,11.67839033,11.49158587,14.89277844,9.866851301,8.710594424,10.1464539,10.72997732,10.97694387,0.461038951315832,0.097816629054522,6.7870483632754
"GSM672719",12.08955204,12.18972751,13.00624349,10.19937509,10.86634126,11.35625651,9.883156134,8.468954647,11.73118327,8.521008922,12.5494855,12.39153123,11.58383606,11.34829926,11.06334126,10.46929405,14.42564907,9.346052788,7.956737175,10.6382342,11.42134944,11.47064201,0.39919103256183,0.255441572703191,6.97318454928389
"GSM672720",11.97618699,12.13914164,13.04265836,9.989074349,10.80887472,11.29289665,9.819645353,8.409907435,11.63001524,8.360233086,12.5494855,12.38281004,11.36724349,11.26915056,11.00246134,10.41153829,14.22564647,9.138475093,7.88012342,10.68093011,11.35176059,11.51608104,0.435335108491164,0.162807228127858,6.86379447945408
"GSM672721",12.04013717,12.07040112,13.18693197,10.25863271,10.8462368,11.29526506,9.717949814,8.34812974,11.62372862,8.695480297,12.30886543,12.20908513,11.39465613,11.65469554,11.00122007,10.46563457,14.04280037,9.184917472,8.025824907,10.50016952,11.38992602,11.56802119,0.346619270288163,0.394463946166855,7.13735332719034
"GSM672752",13.41992007,11.92807175,14.3837368,9.513952416,12.09511747,12.16591599,10.31406059,9.187238662,12.22177807,10.42954089,10.92844275,13.01324461,12.3046145,10.01376952,11.76055242,11.67702007,14.71898885,10.46812714,7.810275465,11.18360929,11.43100372,11.67439108,0.43750762031298,0.157291345532855,6.85728088252622
"GSM672753",13.25572045,11.7148948,14.32986134,9.39121487,11.98993309,12.1883777,10.14026543,9.07303197,12.07040112,10.34454164,10.9214461,13.36832156,12.29753643,10.36729665,11.70109888,11.66639257,14.58543234,10.46027416,7.789927323,10.95595595,11.31913494,11.46338662,0.44975040220528,0.126291980065533,6.82067434346453
